verse_reference,strong,surface,morph_code,question_code,node_cluster_code,obs_cluster_code,observation_id,status,created_at
2Cor.7.11,G4710,earnestness,N-ASF,M0.5.9,M67,M67,229,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.6.5,M67,M67,232,draft,2026-09-17T16:26:59Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.6.5,M67,M67,7385,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.6.5,M67,M67,7871,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.6.6,M67,M67,7386,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.6.6,M67,M67,7872,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.1,M67,M67,7408,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.1,M67,M67,7873,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.10,M67,M67,7882,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.11,M67,M67,7883,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.12,M67,M67,7884,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.13,M67,M67,7885,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.14,M67,M67,7886,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.15,M67,M67,7887,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.16,M67,M67,7415,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.16,M67,M67,7888,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.2,M67,M67,7409,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.2,M67,M67,7874,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.3,M67,M67,7410,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.3,M67,M67,7875,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.4,M67,M67,7411,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.4,M67,M67,7876,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.5,M67,M67,7412,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.5,M67,M67,7877,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.6,M67,M67,7413,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.6,M67,M67,7878,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.7,M67,M67,7879,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.8,M67,M67,7880,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.9,M67,M67,7414,draft,2026-09-21T17:45:01Z
2Cor.7.11,G4710,earnestness,N-ASF,M0.7.9,M67,M67,7881,draft,2026-09-21T18:07:20Z
2Cor.7.11,G4710,earnestness,N-ASF,X0.1.1,M67,M67,815,draft,2026-09-18T03:57:44Z
2Cor.7.11,G4710,earnestness,N-ASF,X0.2.1,M67,M67,817,draft,2026-09-18T03:57:44Z
2Cor.7.11,G4710,earnestness,N-ASF,X0.2.2,M67,M67,818,draft,2026-09-18T03:57:44Z
2Cor.7.11,G4710,earnestness,N-ASF,X0.3.2,M67,M67,820,draft,2026-09-18T03:57:44Z
2Cor.7.11,G4710,earnestness,N-ASF,X0.3.3,M67,M67,821,draft,2026-09-18T03:57:44Z
2Cor.7.11,G5401,fear,N-ASM,M0.1.1,M01,M01,7352,draft,2026-09-21T17:45:01Z
2Cor.7.11,G5401,fear,N-ASM,M0.1.2,M01,M01,7353,draft,2026-09-21T17:45:01Z
2Cor.7.11,G5401,fear,N-ASM,M0.1.3,M01,M01,7354,draft,2026-09-21T17:45:01Z
2Cor.7.11,G5401,fear,N-ASM,M0.5.1,M01,M01,7355,draft,2026-09-21T17:45:01Z
2Cor.7.11,G5401,fear,N-ASM,M0.5.2,M01,M01,7356,draft,2026-09-21T17:45:01Z
2Cor.7.11,G5401,fear,N-ASM,M0.5.3,M01,M01,7357,draft,2026-09-21T17:45:01Z
2Cor.7.11,G5401,fear,N-ASM,M0.7.1,M67,M67,7425,draft,2026-09-21T17:45:01Z
2Cor.7.11,G5401,fear,N-ASM,M0.7.1,M67,M67,7892,draft,2026-09-21T18:07:20Z
2Cor.7.11,G5401,fear,N-ASM,M0.7.10,M67,M67,7426,draft,2026-09-21T17:45:01Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.1.1,M24,M24,7437,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.1.1,M24,M24,7437,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.1.2,M24,M24,7438,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.1.2,M24,M24,7438,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.1.3,M24,M24,7439,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.1.3,M24,M24,7439,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.1,M24,M24,7440,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.1,M24,M24,7440,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.10,M24,M24,7449,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.10,M24,M24,7449,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.11,M24,M24,7450,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.11,M24,M24,7450,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.2,M24,M24,7441,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.2,M24,M24,7441,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.3,M24,M24,7442,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.3,M24,M24,7442,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.4,M24,M24,7443,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.4,M24,M24,7443,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.5,M24,M24,7444,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.6,M24,M24,7445,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.7,M24,M24,7446,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.8,M24,M24,7447,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.5.9,M24,M24,7448,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.1,M67,M67,7451,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.1,M67,M67,7451,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.10,M67,M67,7460,draft,2026-09-21T17:48:25Z
