span_id,role,chapter,verse_ref,surface,strongs,morph,stem,sense,linked_char_spans,linked_char_refs,verse_text
277548,standalone,36,Psa 36:5,faithfulness,H0530,HNcfsc,,faithfulness,,,"Psa 36:5 Your steadfast love , O Lord , extends to the heavens , your faithfulness to the clouds ."
277550,standalone,36,Psa 36:6,righteousness,H6666,HNcfsc,,righteousness,,,"Psa 36:6 Your righteousness is like the mountains of God ; your judgments are like the great deep ; man and beast you save , O Lord ."
277553,standalone,36,Psa 36:6,judgments,H4941G,HNcmsc,,judgments,,,"Psa 36:6 Your righteousness is like the mountains of God ; your judgments are like the great deep ; man and beast you save , O Lord ."
277558,qualifier,36,Psa 36:6,save,H3467,HVhi2ms,Hiphil,you save man and beast,,,"Psa 36:6 Your righteousness is like the mountains of God ; your judgments are like the great deep ; man and beast you save , O Lord ."
277562,standalone,36,Psa 36:7,steadfast love,H2617A,HNcmsc,,steadfast love,,,"Psa 36:7 How precious is your steadfast love , O God ! The children of mankind take refuge in the shadow of your wings ."
277566,standalone,36,Psa 36:7,take,H2620 H9013 H9021,HVqi3mp HSn HSp2ms,Qal,take,,,"Psa 36:7 How precious is your steadfast love , O God ! The children of mankind take refuge in the shadow of your wings ."
277574,standalone,36,Psa 36:8,drink,H8248H H9021,HVhi2ms HSp2ms,Hiphil,drink,,,"Psa 36:8 They feast on the abundance of your house , and you give them drink from the river of your delights ."
277576,qualifier,36,Psa 36:8,delights,H5730A,HNcmpc,,the river of your delights,,,"Psa 36:8 They feast on the abundance of your house , and you give them drink from the river of your delights ."
277501,standalone,36,Psa 36:10,continue,H4900,HVqv2ms,Qal,continue,,,"Psa 36:10 Oh, continue your steadfast love to those who know you, and your righteousness to the upright of heart !"
277502,standalone,36,Psa 36:10,steadfast love,H2617A,HNcmsc,,steadfast love,,,"Psa 36:10 Oh, continue your steadfast love to those who know you, and your righteousness to the upright of heart !"
277504,standalone,36,Psa 36:10,righteousness,H6666 H9002 H9031,HNcfsc HC HSp2ms,,righteousness,,,"Psa 36:10 Oh, continue your steadfast love to those who know you, and your righteousness to the upright of heart !"
277505,standalone,36,Psa 36:10,upright,H3477G H9005 H9021,HAampc HR HSp2ms,,upright,,,"Psa 36:10 Oh, continue your steadfast love to those who know you, and your righteousness to the upright of heart !"
277506,standalone,36,Psa 36:10,heart,H3820A,HNcmsa,,heart,,,"Psa 36:10 Oh, continue your steadfast love to those who know you, and your righteousness to the upright of heart !"
277508,standalone,36,Psa 36:11,arrogance,H1346,HNcfsa,,arrogance,,,"Psa 36:11 Let not the foot of arrogance come upon me, nor the hand of the wicked drive me away."
277511,standalone,36,Psa 36:11,wicked,H7563,HNcmpa,,wicked,,,"Psa 36:11 Let not the foot of arrogance come upon me, nor the hand of the wicked drive me away."
277515,standalone,36,Psa 36:12,evildoers,H6466 H0205G,HVqrmpc HNcmsa,Qal,evildoers,,,"Psa 36:12 There the evildoers lie fallen ; they are thrust down , unable to rise ."
277516,standalone,36,Psa 36:12,fallen,H5307G,HVqp3cp,Qal,fallen,,,"Psa 36:12 There the evildoers lie fallen ; they are thrust down , unable to rise ."
277517,standalone,36,Psa 36:12,thrust down,H1760A,HVPp3cp,Pual,thrust down,,,"Psa 36:12 There the evildoers lie fallen ; they are thrust down , unable to rise ."
277519,standalone,36,Psa 36:12,rise,H6965B,HVqcc,Qal,rise,,,"Psa 36:12 There the evildoers lie fallen ; they are thrust down , unable to rise ."
277586,standalone,37,Psa 37:1,evildoers,H7489A H9003,HVhrmpa HRd,Hiphil,evildoers,,,Of David . Psa 37:1 Fret not yourself because of evildoers ; be not envious of wrongdoers !
277587,standalone,37,Psa 37:1,envious,H7065 H0408,HVpj2ms HTn,Piel,envious,,,Of David . Psa 37:1 Fret not yourself because of evildoers ; be not envious of wrongdoers !
277659,standalone,37,Psa 37:2,fade,H5243A,HVqi3mp,Qal,fade,,,Psa 37:2 For they will soon fade like the grass and wither like the green herb .
277660,standalone,37,Psa 37:2,grass,H2682A H9004 H3588A,HNcmsa HRd HTc,,grass,,,Psa 37:2 For they will soon fade like the grass and wither like the green herb .
277661,standalone,37,Psa 37:2,wither,H5034B H9013,HVqi3mp HSn,Qal,wither,,,Psa 37:2 For they will soon fade like the grass and wither like the green herb .
277663,standalone,37,Psa 37:2,green,H3418 H9002,HNcmsc HC,,green,,,Psa 37:2 For they will soon fade like the grass and wither like the green herb .
277664,standalone,37,Psa 37:2,herb,H1877,HNcmsa,,herb,,,Psa 37:2 For they will soon fade like the grass and wither like the green herb .
277742,standalone,37,Psa 37:3,good,H2896B,HAamsa,,good,,,"Psa 37:3 Trust in the Lord , and do good ; dwell in the land and befriend faithfulness ."
277745,standalone,37,Psa 37:3,befriend,H7462C,HVqv2ms,Qal,befriend,,,"Psa 37:3 Trust in the Lord , and do good ; dwell in the land and befriend faithfulness ."
277746,standalone,37,Psa 37:3,faithfulness,H0530,HNcfsa,,faithfulness,,,"Psa 37:3 Trust in the Lord , and do good ; dwell in the land and befriend faithfulness ."
277817,qualifier,37,Psa 37:4,desires,H4862 H9005 H9031,HNcfpc HR HSp2ms,,desires of your heart,,,"Psa 37:4 Delight yourself in the Lord , and he will give you the desires of your heart ."
277819,standalone,37,Psa 37:4,heart,H3820A,HNcmsc,,heart,,,"Psa 37:4 Delight yourself in the Lord , and he will give you the desires of your heart ."
277831,standalone,37,Psa 37:5,trust,H0982 H9021,HVqv2ms HSp2ms,Qal,trust,,,"Psa 37:5 Commit your way to the Lord ; trust in him , and he will act ."
277835,standalone,37,Psa 37:6,righteousness,H6664G,HNcmsc,,righteousness,,,"Psa 37:6 He will bring forth your righteousness as the light , and your justice as the noonday ."
277837,standalone,37,Psa 37:6,justice,H4941H H9002 H9021,HNcmsc HC HSp2ms,,justice,,,"Psa 37:6 He will bring forth your righteousness as the light , and your justice as the noonday ."
277842,standalone,37,Psa 37:7,fret,H2734 H9005 H9033 H0408,HVtj2ms HR HSp3ms HTn,Hithpael,fret,,,"Psa 37:7 Be still before the Lord and wait patiently for him; fret not yourself over the one who prospers in his way , over the man who carries out evil devices !"
277843,standalone,37,Psa 37:7,prospers,H6743B H9003,HVhrmsc HR,Hiphil,prospers,,,"Psa 37:7 Be still before the Lord and wait patiently for him; fret not yourself over the one who prospers in his way , over the man who carries out evil devices !"
277847,standalone,37,Psa 37:7,evil,H4209,HNcfpa,,evil,,,"Psa 37:7 Be still before the Lord and wait patiently for him; fret not yourself over the one who prospers in his way , over the man who carries out evil devices !"
277850,standalone,37,Psa 37:8,anger,H0639G H9006,HNcmsa HR,,anger,,,"Psa 37:8 Refrain from anger , and forsake wrath ! Fret not yourself; it tends only to evil ."
277851,standalone,37,Psa 37:8,forsake,H5800A,HVqv2ms,Qal,forsake,,,"Psa 37:8 Refrain from anger , and forsake wrath ! Fret not yourself; it tends only to evil ."
277852,standalone,37,Psa 37:8,wrath,H2534,HNcfsa,,wrath,,,"Psa 37:8 Refrain from anger , and forsake wrath ! Fret not yourself; it tends only to evil ."
277853,standalone,37,Psa 37:8,Fret,H2734 H0408,HVtj2ms HTn,Hithpael,Fret,,,"Psa 37:8 Refrain from anger , and forsake wrath ! Fret not yourself; it tends only to evil ."
277855,standalone,37,Psa 37:8,evil,H7489A H9005,HVhcc HR,Hiphil,evil,,,"Psa 37:8 Refrain from anger , and forsake wrath ! Fret not yourself; it tends only to evil ."
277856,standalone,37,Psa 37:9,evildoers,H7489A H3588A,HVhrmpa HTc,Hiphil,evildoers,,,"Psa 37:9 For the evildoers shall be cut off , but those who wait for the Lord shall inherit the land ."
277857,standalone,37,Psa 37:9,cut off,H3772I,HVNi3mp,Niphal,cut off,,,"Psa 37:9 For the evildoers shall be cut off , but those who wait for the Lord shall inherit the land ."
277858,standalone,37,Psa 37:9,wait,H6960A H9013,HVqrmpc HSn,Qal,wait,,,"Psa 37:9 For the evildoers shall be cut off , but those who wait for the Lord shall inherit the land ."
277860,standalone,37,Psa 37:9,inherit,H3423G H1992,HVqi3mp HPp3mp,Qal,inherit,,,"Psa 37:9 For the evildoers shall be cut off , but those who wait for the Lord shall inherit the land ."
277591,standalone,37,Psa 37:10,wicked,H7563,HNcmsa,,wicked,,,"Psa 37:10 In just a little while , the wicked will be no more ; though you look carefully at his place , he will not be there."
277594,standalone,37,Psa 37:10,look,H0995,HVtq2ms,Hithpael,look,,,"Psa 37:10 In just a little while , the wicked will be no more ; though you look carefully at his place , he will not be there."
277601,qualifier,37,Psa 37:11,inherit,H3423G,HVqi3mp,Qal,the meek shall inherit,,,Psa 37:11 But the meek shall inherit the land and delight themselves in abundant peace .
277603,standalone,37,Psa 37:11,delight,H6026,HVtq3cp,Hithpael,delight,,,Psa 37:11 But the meek shall inherit the land and delight themselves in abundant peace .
277605,standalone,37,Psa 37:11,peace,H7965G,HNcmsa,,peace,,,Psa 37:11 But the meek shall inherit the land and delight themselves in abundant peace .
277606,standalone,37,Psa 37:12,wicked,H7563,HNcmsa,,wicked,,,"Psa 37:12 The wicked plots against the righteous and gnashes his teeth at him,"
277607,standalone,37,Psa 37:12,plots,H2161,HVqrmsa,Qal,plots,,,"Psa 37:12 The wicked plots against the righteous and gnashes his teeth at him,"
277608,standalone,37,Psa 37:12,righteous,H6662 H9005,HAamsa HRd,,righteous,,,"Psa 37:12 The wicked plots against the righteous and gnashes his teeth at him,"
277609,standalone,37,Psa 37:12,gnashes,H2786,HVqrmsa,Qal,gnashes,,,"Psa 37:12 The wicked plots against the righteous and gnashes his teeth at him,"
277611,standalone,37,Psa 37:12,teeth,H8127G H5921A H9033,HNcfdc HR HSp3ms,,teeth,,,"Psa 37:12 The wicked plots against the righteous and gnashes his teeth at him,"
306273,standalone,37,Psa 37:13,laughs,H7832,HVqi3ms,Qal,laughs,,,"Psa 37:13 but the Lord laughs at the wicked, for he sees that his day is coming."
277612,standalone,37,Psa 37:14,wicked,H7563,HNcmpa,,wicked,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277613,standalone,37,Psa 37:14,draw,H6605A,HVqp3cp,Qal,draw,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277614,standalone,37,Psa 37:14,sword,H2719,HNcfsa,,sword,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277615,standalone,37,Psa 37:14,bend,H1869,HVqq3cp,Qal,bend,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277616,standalone,37,Psa 37:14,bows,H7198,HNcfsc,,bows,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277618,standalone,37,Psa 37:14,bring,H5307J H9028,HVhcc HSp3mp,Hiphil,bring,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277619,standalone,37,Psa 37:14,poor,H6041,HAamsa,,poor,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277620,standalone,37,Psa 37:14,needy,H0034 H9002,HAamsa HC,,needy,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277622,standalone,37,Psa 37:14,slay,H2873,HVqcc,Qal,slay,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277624,standalone,37,Psa 37:14,upright,H3477G,HAampc,,upright,,,"Psa 37:14 The wicked draw the sword and bend their bows to bring down the poor and needy , to slay those whose way is upright ;"
277625,standalone,37,Psa 37:15,sword,H2719,HNcfsc,,sword,,,"Psa 37:15 their sword shall enter their own heart , and their bows shall be broken ."
277627,standalone,37,Psa 37:15,heart,H3820A H9003,HNcmsc HR,,heart,,,"Psa 37:15 their sword shall enter their own heart , and their bows shall be broken ."
277628,standalone,37,Psa 37:15,bows,H7198 H9002 H9028,HNcfpc HC HSp3mp,,bows,,,"Psa 37:15 their sword shall enter their own heart , and their bows shall be broken ."
277629,standalone,37,Psa 37:15,broken,H7665 H9028,HVNi3fp HSp3mp,Niphal,break (shabar - their bows),,,"Psa 37:15 their sword shall enter their own heart , and their bows shall be broken ."
277630,standalone,37,Psa 37:16,Better,H2896A,HAamsa,,Better,,,Psa 37:16 Better is the little that the righteous has than the abundance of many wicked .
277632,standalone,37,Psa 37:16,righteous,H6662 H9005,HAamsa HRd,,righteous,,,Psa 37:16 Better is the little that the righteous has than the abundance of many wicked .
277636,standalone,37,Psa 37:16,wicked,H7563,HNcmpa,,wicked,,,Psa 37:16 Better is the little that the righteous has than the abundance of many wicked .
277637,standalone,37,Psa 37:17,arms,H2220 H3588A,HNcfpa HTc,,arms,,,"Psa 37:17 For the arms of the wicked shall be broken , but the Lord upholds the righteous ."
277638,standalone,37,Psa 37:17,wicked,H7563,HNcmpa,,wicked,,,"Psa 37:17 For the arms of the wicked shall be broken , but the Lord upholds the righteous ."
277639,standalone,37,Psa 37:17,broken,H7665,HVNi3fp,Niphal,break (shabar - the wicked's arms),,,"Psa 37:17 For the arms of the wicked shall be broken , but the Lord upholds the righteous ."
277641,qualifier,37,Psa 37:17,upholds,H5564,HVqrmsa,Qal,the LORD upholds the righteous,,,"Psa 37:17 For the arms of the wicked shall be broken , but the Lord upholds the righteous ."
277642,standalone,37,Psa 37:17,righteous,H6662,HAampa,,righteous,,,"Psa 37:17 For the arms of the wicked shall be broken , but the Lord upholds the righteous ."
