run_id,chunk,model,input_tokens,output_tokens,cost_usd,called_at
RUN-20260918_114957_191-VERSE-READING,17/50,claude-sonnet-5,50472,19959,0.4508,2026-09-18T11:30:39Z
RUN-20260918_114957_191-VERSE-READING,18/50,claude-sonnet-5,48036,16611,0.3933,2026-09-18T11:32:57Z
RUN-20260918_114957_191-VERSE-READING,19/50,claude-sonnet-5,21605,11199,0.2328,2026-09-18T11:34:32Z
RUN-20260918_114957_191-VERSE-READING,20/50,claude-sonnet-5,21778,10916,0.2291,2026-09-18T11:36:05Z
RUN-20260918_114957_191-VERSE-READING,21/50,claude-sonnet-5,21136,12623,0.2528,2026-09-18T11:37:49Z
RUN-20260918_114957_191-VERSE-READING,22/50,claude-sonnet-5,24989,10536,0.2330,2026-09-18T11:39:18Z
RUN-20260918_114957_191-VERSE-READING,23/50,claude-sonnet-5,20824,17389,0.3233,2026-09-18T11:41:39Z
RUN-20260918_114957_191-VERSE-READING,24/50,claude-sonnet-5,24259,15907,0.3114,2026-09-18T11:43:50Z
RUN-20260918_114957_191-VERSE-READING,25/50,claude-sonnet-5,23536,10905,0.2342,2026-09-18T11:45:24Z
RUN-20260918_114957_191-VERSE-READING,26/50,claude-sonnet-5,30859,19181,0.3803,2026-09-18T11:48:02Z
RUN-20260918_114957_191-VERSE-READING,27/50,claude-sonnet-5,22161,15838,0.3041,2026-09-18T11:50:20Z
RUN-20260918_114957_191-VERSE-READING,28/50,claude-sonnet-5,20758,13260,0.2612,2026-09-18T11:52:11Z
RUN-20260918_114957_191-VERSE-READING,29/50,claude-sonnet-5,20892,15792,0.2996,2026-09-18T11:54:22Z
RUN-20260918_114957_191-VERSE-READING,30/50,claude-sonnet-5,30274,18664,0.3708,2026-09-18T11:56:57Z
RUN-20260918_114957_191-VERSE-READING,31/50,claude-sonnet-5,26907,15935,0.3197,2026-09-18T11:59:14Z
RUN-20260918_114957_191-VERSE-READING,32/50,claude-sonnet-5,20419,15125,0.2881,2026-09-18T12:01:20Z
RUN-20260918_114957_191-VERSE-READING,33/50,claude-sonnet-5,21498,16841,0.3171,2026-09-18T12:03:42Z
RUN-20260918_114957_191-VERSE-READING,34/50,claude-sonnet-5,46036,13150,0.3354,2026-09-18T12:05:32Z
RUN-20260918_114957_191-VERSE-READING,35/50,claude-sonnet-5,70375,16965,0.4656,2026-09-18T12:07:59Z
RUN-20260918_114957_191-VERSE-READING,36/50,claude-sonnet-5,19457,9820,0.2057,2026-09-18T12:09:31Z
RUN-20260918_114957_191-VERSE-READING,37/50,claude-sonnet-5,32693,10812,0.2603,2026-09-18T12:11:08Z
RUN-20260918_114957_191-VERSE-READING,38/50,claude-sonnet-5,64168,21386,0.5133,2026-09-18T12:14:09Z
RUN-20260918_114957_191-VERSE-READING,39/50,claude-sonnet-5,21860,12747,0.2568,2026-09-18T12:15:59Z
RUN-20260918_114957_191-VERSE-READING,40/50,claude-sonnet-5,23103,10800,0.2313,2026-09-18T12:17:32Z
RUN-20260918_114957_191-VERSE-READING,41/50,claude-sonnet-5,18377,9977,0.2048,2026-09-18T12:18:59Z
RUN-20260918_114957_191-VERSE-READING,42/50,claude-sonnet-5,17947,13425,0.2552,2026-09-18T12:20:52Z
RUN-20260918_114957_191-VERSE-READING,43/50,claude-sonnet-5,12598,7539,0.1509,2026-09-18T12:22:02Z
RUN-20260918_114957_191-VERSE-READING,44/50,claude-sonnet-5,18781,12496,0.2438,2026-09-18T12:23:57Z
RUN-20260918_114957_191-VERSE-READING,45/50,claude-sonnet-5,17682,11841,0.2307,2026-09-18T12:25:40Z
RUN-20260918_114957_191-VERSE-READING,46/50,claude-sonnet-5,21921,11446,0.2375,2026-09-18T12:27:22Z
RUN-20260918_114957_191-VERSE-READING,47/50,claude-sonnet-5,18383,12499,0.2426,2026-09-18T12:29:09Z
RUN-20260918_114957_191-VERSE-READING,48/50,claude-sonnet-5,29148,12688,0.2778,2026-09-18T12:30:59Z
RUN-20260918_114957_191-VERSE-READING,49/50,claude-sonnet-5,15260,11352,0.2161,2026-09-18T12:32:40Z
RUN-20260918_114957_191-VERSE-READING,50/50,claude-sonnet-5,12595,9676,0.1829,2026-09-18T12:34:05Z
RUN-20260918_133439_057-CLUSTER-SUBGROUP,1/1,claude-sonnet-5,356042,3073,1.1142,2026-09-18T12:35:19Z
RUN-20260918_133555_380-CLUSTER-READING,1/1,claude-sonnet-5,51888,4320,0.2205,2026-09-18T12:36:38Z
RUN-20260918_133648_115-CLUSTER-READING,1/1,claude-sonnet-5,5609,806,0.0289,2026-09-18T12:37:04Z
RUN-20260918_133721_677-CLUSTER-READING,1/3,claude-sonnet-5,113363,1817,0.3673,2026-09-18T12:37:48Z
RUN-20260918_133721_677-CLUSTER-READING,2/3,claude-sonnet-5,114322,4299,0.4075,2026-09-18T12:38:26Z
RUN-20260918_133721_677-CLUSTER-READING,3/3,claude-sonnet-5,112230,7445,0.4484,2026-09-18T12:39:35Z
RUN-20260918_133947_340-CLUSTER-ANSWER,1/1,claude-sonnet-5,56853,12197,0.3535,2026-09-18T12:41:46Z
RUN-20260918_134907_862-CLUSTER-ANSWER,1/1,claude-sonnet-5,56853,18381,0.4463,2026-09-18T12:51:48Z
RUN-20260918_142055_437-CLUSTER-ANSWER,1/1,claude-sonnet-5,8597,9862,0.1737,2026-09-18T13:22:16Z
RUN-20260918_142228_455-CLUSTER-ANSWER,1/1,claude-sonnet-5,134487,18929,0.6874,2026-09-18T13:25:10Z
