"strong","mounce_parsed","row_type"
"G0235","except","lookup"
"G0994","to call","lookup"
"G0994","cry out","lookup"
"G0994","shout","lookup"
"G1528","to invite into","lookup"
"G1793","to intercede","lookup"
"G1793","appeal","lookup"
"G1793","petition","lookup"
"G1941","(active/passive) to call (upon)","description"
"G1941","name","lookup"
"G1941","be named","lookup"
"G1941","(middle) appeal to","lookup"
"G1941","call upon for aid","description"
"G1951","(passive) to be called","description"
"G1951","(middle) to choose call","description"
"G2028","(passive) to be called","description"
"G2028","namedname","lookup"
"G2036","to say","lookup"
"G2036","said","lookup"
"G2036","the most general term for speaking in the NT","description"
"G2036","translated contextually with more specific words such as say","description"
"G2036","tell","lookup"
"G2036","ask","lookup"
"G2036","answer","lookup"
"G2046","- an alternate for G2036 in certain tenses","description"
"G2046","to utter","lookup"
"G2046","i.e. speak or say","description"
"G2564G","call/invite","lookup"
"G2564G","to call","lookup"
"G2564G","invite","lookup"
"G2564G","summon. The authority of the speaker dictates the nature of the calling (friends invite; kings summon). This is also translated to name","description"
"G2564G","the giving of attribution to someone or something","description"
"G2564H","name","lookup"
"G2564H","to call","lookup"
"G2564H","invite","lookup"
"G2564H","summon. The authority of the speaker dictates the nature of the calling (friends invite; kings summon). This is also translated to name","description"
"G2564H","the giving of attribution to someone or something","description"
"G2821","call","lookup"
"G2821","calling","lookup"
"G2821","situation","lookup"
"G2821","station in life","lookup"
"G2822","called","lookup"
"G2822","invited","lookup"
"G2896","call out","lookup"
"G2896","to cry out","lookup"
"G2896","shout","lookup"
"G2896","exclaim","lookup"
"G3004H","call/name","lookup"
"G3004H","- properly","lookup"
"G3004H","to lay forth","lookup"
"G3004H","i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 and G5346 generally refer to an individual expression or speech respectively; while G4483 is properly to break silence merely, and G2980 means an extended or random harangue))","description"
"G3004H","by implication","lookup"
"G3004H","to mean","lookup"
"G3333","(middle) to send for","description"
"G3333","summon","lookup"
"G3333","call to oneself","lookup"
"G3686","name","lookup"
"G3686","title","lookup"
"G3686","reputation","lookup"
"G3687","to give a name","description"
"G3687","designate a name","lookup"
"G3687","to confess","lookup"
"G3687","(middle) to call oneself","description"
"G3687","(passive) to be named","description"
"G3687","be known","lookup"
"G3870","to ask","lookup"
"G3870","beg","lookup"
"G3870","plead","lookup"
"G3870","to comfort","lookup"
"G3870","encourage","lookup"
"G3870","exhort","lookup"
"G3870","urge","lookup"
"G3870","to call","lookup"
"G3870","invite","lookup"
"G4316","to designate","lookup"
"G4341","(middle) to call","lookup"
"G4341","summon","lookup"
"G4341","send for","lookup"
"G4341","gather together","lookup"
"G4377","to call out","lookup"
"G4377","speak to","lookup"
"G4377","address","lookup"
"G4779","(act.) to call together","description"
"G4779","(middle) to call to one’s side","description"
"G4779","summon","lookup"
"G5455","to call (out)","lookup"
"G5455","summon","lookup"
"G5537","to warn","lookup"
"G5537","(passive) to bear a name","description"
"G5537","to be warned","lookup"
"G5537","told about","lookup"
"G5537","revealed to","lookup"
"G5581","falsely called or identified","description"
"G6285","to call by name","description"
"G7099","to call forth","lookup"
"G7115","to call into account","description"
"G1382","character","lookup"
"G1382","test","lookup"
"G1382","proof","lookup"
"G2239","- moral habits","lookup"
"G1653","to show mercy","lookup"
"G1653","be merciful","lookup"
"G1656","mercy","lookup"
"G1656","pity","lookup"
"G1656","the moral quality of feeling compassion and especially of showing kindness toward someone in need. This can refer to a human kindness and to God’s kindness to humankind","description"
"G2944","to surround gather around","description"
"G2944","march around","lookup"
"G3627","to have compassion on","description"
"G3628","compassion","lookup"
"G3628","mercy","lookup"
"G3628","pity","lookup"
"G4013","(tr.) to take (a wife)","description"
"G4013","(intr.) to","lookup"
"G4013","go about","lookup"
"G4013","travel about","lookup"
"G4022","to go around","lookup"
"G4033","to encircle","lookup"
"G4033","surround","lookup"
"G4184","compassionate","lookup"
"G4697","to have compassion on","description"
"G4697","have pity on","lookup"
"G4698","inward parts of body intestines","description"
"G4698","of emotion heart","lookup"
"G4698","affection","lookup"
"G4698","tenderness","lookup"
"G4698","compassion","lookup"
"G4834","to sympathize with","lookup"
"G4835","sympathetic","lookup"
"G7451","to show compassion","lookup"
"G0176","not condemned","lookup"
"G0176","what cannot be criticized","description"
"G0843","self-condemned","lookup"
"G1349","condemnation","lookup"
"G1935","condemned to die","lookup"
"G2607","to condemn","lookup"
"G2607","convict","lookup"
"G2607","(passive) to be in the wrong","description"
"G2607","condemned","lookup"
"G2613","to condemn","lookup"
"G2631","condemnation","lookup"
"G2632","to condemn","lookup"
"G2633","condemnation","lookup"
"G2917","judgment","lookup"
"G2917","condemnation","lookup"
"G2917","sentence","lookup"
"G2917","punishment","lookup"
"G2919","to decide","lookup"
"G2919","consider","lookup"
"G2919","as preferring one thing over another or determining the correctness of a matter","description"
"G2919","by extension to judge","description"
"G2919","pass judgment on","lookup"
"G2919","condemn in a legal sense","description"
"G2920","judgment (human or divine)","description"
"G2920","justice","lookup"
"G2920","the concept of determining the correctness of a matter","description"
"G2920","negatively","lookup"
"G2920","punishment","lookup"
"G2920","condemnation","lookup"
"G5020","to send to hell","description"
"G5020","hold captive in Tartarus","description"
"G5020","a derivative of the Greek noun Tartarus","description"
"G5020","a place of torture and torment lower than Hades in Greek and Jewish apocalyptic literature","description"
"G5020","not found in the NT condemn","description"
"G4893","conscience","lookup"
"G4894","to share knowledge with","description"
"G4894","to be conscious (of oneself) aware","description"
"G0037","to sanctify","lookup"
"G0037","set apart","lookup"
"G0037","make holy","lookup"
"G0037","this can mean active dedication and service to God or the act of regarding or honoring as holy","description"
"G0040G","holy","lookup"
"G0040G","holy","lookup"
"G0334","offering-","lookup"
"G4286","purpose","lookup"
"G5048","to perfect","lookup"
"G5048","complete","lookup"
"G5048","finish","lookup"
"G5048","(passive) to reach a goal","description"
"G5048","be fulfilled","lookup"
"G5048","completed","lookup"
"G5048","made perfect","lookup"
"G7751","to consecrate","lookup"
"G0073","struggle","lookup"
"G0073","fight","lookup"
"G0073","often an athletic contest","description"
"G0714","(middle/passive) to be content","description"
"G0714","satisfied","lookup"
"G0714","(act.) to be sufficient","description"
"G0841","contentment","lookup"
"G0841","having all of one’s needs","description"
"G0841","sufficiency","lookup"
"G0842","content","lookup"
"G0842","(possibly) self-sufficient","lookup"
"G2054","quarrel","lookup"
"G2054","strife","lookup"
"G2054","dissension","lookup"
"G2054","discord","lookup"
"G2106","to be well pleased","description"
"G2106","delight","lookup"
"G2213","question for discussion","lookup"
"G2213","point of dispute","lookup"
"G2213","controversy","lookup"
"G3859","constant friction contention","lookup"
"G3948","sharp disagreement","lookup"
"G3948","spurring on","lookup"
"G3948","encouraging stirring up","lookup"
"G8313","be content","lookup"
"G0853","to destroy","lookup"
"G0853","disfigure","lookup"
"G0853","to perish","lookup"
"G0853","vanish","lookup"
"G0853","disappear","lookup"
"G0889","(passive) to become worthless","description"
"G0889","depraved","lookup"
"G1311","to destroy","lookup"
"G1311","corrupt","lookup"
"G1312","decay","lookup"
"G1612","(passive) to be warped","description"
"G1612","perverted","lookup"
"G2585","to act as a peddler","description"
"G2585","trade in for profit peddle","description"
"G2704","(passive) to be depraved","description"
"G2704","corrupt","lookup"
"G3393","corruption","lookup"
"G3393","defilement","lookup"
"G3394","corruption","lookup"
"G3394","pollution","lookup"
"G3394","defilement","lookup"
"G4550","bad","lookup"
"G4550","rotten","lookup"
"G4550","decayed","lookup"
"G4550","unwholesome","lookup"
"G4595","to rot","lookup"
"G4595","decay","lookup"
"G4646","crooked","lookup"
"G4646","corrupt","lookup"
"G5349","perishable","lookup"
"G5349","not lasting","lookup"
"G5349","mortal","lookup"
"G5351","to destroy","lookup"
"G5351","corrupt","lookup"
"G5351","(passive) to be corrupted","description"
"G5351","destroyed","lookup"
"G5351","perish","lookup"
"G5351","to be led astray","description"
"G5356","perishableness","lookup"
"G5356","destruction","lookup"
"G5356","corruption","lookup"
"G5356","depravity","lookup"
"G7946","corruption","lookup"
"G1011","to make plans","lookup"
"G1011","consider","lookup"
"G1011","decide","lookup"
"G1011","plot plan","lookup"
"G1012","plan","lookup"
"G1012","purpose","lookup"
"G1012","will","lookup"
"G1012","decision","lookup"
"G4823","to advise","lookup"
"G4823","counsel","lookup"
"G4823","(middle) to plot","lookup"
"G4823","conspire","lookup"
"G4823","consult","lookup"
"G4824","plan","lookup"
"G4824","plot","lookup"
"G4824","decision","lookup"
"G4824","council","lookup"
"G0407","to act courageously","lookup"
"G2114","to keep up one’s courage","description"
"G2114","to be happy","lookup"
"G2114","cheerfultake heart","lookup"
"G2293","take heart!","lookup"
"G2293","take courage!","lookup"
"G2293","cheer up!","lookup"
"G2294","encouragement","lookup"
"G2294","courage","lookup"
"G6326","courage","lookup"
"G6326","courageous","lookup"
"G1242","covenant","lookup"
"G1242","a solemn agreement between two parties","description"
"G1242","will","lookup"
"G1242","testament","lookup"
"G1242","a legal document by which property is transferred to heirs","description"
"G1242","usually upon death (Heb 9 16)","description"
"G1303","to make a covenant or a will","description"
"G1303","to confer","lookup"
"G1303","assign","lookup"
"G2787G","covenant","lookup"
"G2787G","ark","lookup"
"G2787G","box","lookup"
"G2787G","chest","lookup"
"G4934","(middle) to join in an accusation","description"
"G4934","join in an attack accuse","description"
"G0866","not loving money","lookup"
"G0866","not greedy","lookup"
"G1937","to long for","lookup"
"G1937","desire","lookup"
"G1937","covet","lookup"
"G1937","lust","lookup"
"G1939","desire","lookup"
"G1939","longing (in contexts where the desire is positive and proper)","description"
"G1939","coveting","lookup"
"G1939","craving","lookup"
"G1939","lusting (in contexts where the desire is immoral and sinful)","description"
"G2206","to be earnest","lookup"
"G2206","eager","lookup"
"G3713","(middle) to set one’s heart on","description"
"G3713","strive for","lookup"
"G3713","aspire to","lookup"
"G3713","desire","lookup"
"G4123","greedy person","lookup"
"G4124","greediness","lookup"
"G4124","avarice","lookup"
"G5366","money-loving","lookup"
"G5366","avaricious","lookup"
"G5366","greedy","lookup"
"G0766","debauchery","lookup"
"G0766","sensuality","lookup"
"G0766","lewdness","lookup"
"G0810","debauchery","lookup"
"G0810","dissipation","lookup"
"G0810","wildness","lookup"
"G0811","wildly","lookup"
"G0811","in debauchery","lookup"
"G0811","in dissipation","lookup"
"G0539","deception","lookup"
"G0539","deceitfulness","lookup"
"G1386","deceitful","lookup"
"G1386","dishonest","lookup"
"G1386","tricky","lookup"
"G1387","to practice deceit","lookup"
"G1387","deceive","lookup"
"G1388","deceit","lookup"
"G3834","cunning","lookup"
"G3834","craftiness","lookup"
"G4106","error","lookup"
"G4106","delusion","lookup"
"G4106","deception","lookup"
"G4108","deceiving","lookup"
"G4108","leading astray","lookup"
"G4108","(n.) deceiver","lookup"
"G4108","imposter","lookup"
"G4108","figuratively extensions of the base meaning to wander off a path","description"
"G4108","not found in the NT","description"
"G6957","deceit","lookup"
"G0234","pollution","lookup"
"G0234","ritually defiled","lookup"
"G0449","unwashed","lookup"
"G2839G","unsanctified","lookup"
"G2839G","common","lookup"
"G2839G","(ceremonially) unclean","lookup"
"G2839G","impure","lookup"
"G2839G","unholy","lookup"
"G2840","to make (ceremonially) unclean","description"
"G2840","impure","lookup"
"G2840","to defile profane","lookup"
"G3392","to pollute","lookup"
"G3392","stain","lookup"
"G3392","defile","lookup"
"G3392","(passive) to be defiled","description"
"G3392","corrupted","lookup"
"G3392","become ceremonially unclean","lookup"
"G3392","this refers to both ceremonial and moral uncleanness","description"
"G3435","to defile","lookup"
"G3435","soil","lookup"
"G3435","stain","lookup"
"G3435","make impure","lookup"
"G3436","contamination","lookup"
"G3436","defilement","lookup"
"G4510","to defile","lookup"
"G4510","pollute","lookup"
"G4695","to corrupt","lookup"
"G4695","(passive) to be stained","description"
"G4695","defiled stain","lookup"
"G7121","to thoroughly defile","lookup"
"G7170","to defile","lookup"
"G8327","defilement","lookup"
"G0020","delight","lookup"
"G0020","great joy","lookup"
"G2234","gladly","lookup"
"G2234","with delight","lookup"
"G2234","in the superlative","lookup"
"G2234","most gladly","lookup"
"G2234","with utter delight","lookup"
"G4913","to delight in agreement","description"
"G5463","to rejoice","lookup"
"G5479","joy","lookup"
"G5479","rejoicing","lookup"
"G5479","happiness","lookup"
"G5479","gladness","lookup"
"G7936","to delight","lookup"
"G0154","to ask","lookup"
"G0154","ask for (of other humans or God)","description"
"G0154","demand","lookup"
"G0701","pleasing","lookup"
"G0701","desirable","lookup"
"G0701","right","lookup"
"G1013","plan","lookup"
"G1013","will","lookup"
"G1013","choice","lookup"
"G1014","to wish","lookup"
"G1014","will","lookup"
"G1014","desire","lookup"
"G1014","to choose","lookup"
"G1014","determine","lookup"
"G1014","plan","lookup"
"G1809","(middle) to ask for","description"
"G1934","to look for","lookup"
"G1934","run after","lookup"
"G1934","seek earnestly","lookup"
"G1938","one who desires","lookup"
"G1938","sets heart on (evil)desirer","description"
"G1971","to long for","lookup"
"G1971","crave","lookup"
"G1971","desire","lookup"
"G1972","longing (for)","lookup"
"G1974","longing","lookup"
"G1974","desire","lookup"
"G2065","to ask","lookup"
"G2065","beg","lookup"
"G2065","urge","lookup"
"G2065","pray","lookup"
"G2107","goodwill","lookup"
"G2107","good purpose","lookup"
"G2107","favor","lookup"
"G2107","pleasure","lookup"
"G2107","desire","lookup"
"G21415","desirable","lookup"
"G2212","to look for","lookup"
"G2212","seek out","lookup"
"G2212","to try to obtain","description"
"G2212","desire to possess","lookup"
"G2212","strive for","lookup"
"G2307","will","lookup"
"G2307","decision","lookup"
"G2307","desire","lookup"
"G2309","to will","lookup"
"G2309","decide","lookup"
"G2309","want to","lookup"
"G2309","wish","lookup"
"G2309","desire","lookup"
"G2442","to desire","lookup"
"G2442","long for","lookup"
"G2691","to be filled with desires that conflict with dedication to someonefeel desirous","description"
"G3715","lust","lookup"
"G3715","desire","lookup"
"G7410","desire","lookup"
"G7411","desirable","lookup"
"G0560","to expect nothing in return","description"
"G1820","(middle) to despair","lookup"
"G1820","(passive) to be in despair","description"
"G0472","to be devoted","lookup"
"G0472","hold firmly to","lookup"
"G0472","pay attention to","lookup"
"G1872","to follow after","lookup"
"G1872","accompany","lookup"
"G1872","be devoted to","lookup"
"G2138","submissive","lookup"
"G2138","obedient","lookup"
"G2138","compliant","lookup"
"G2145","devoted","lookup"
"G2145","devotion","lookup"
"G2145","service devoted to God","description"
"G4043","to walk (around)","lookup"
"G4043","to live","lookup"
"G4043","conduct one’s life","lookup"
"G4291","(active/middle) to manage","lookup"
"G4291","direct","lookup"
"G4291","lead","lookup"
"G4291","(middle) to devote oneself","description"
"G4291","busy oneself to be devoted","description"
"G4337","to watch out","lookup"
"G4337","be on guard","lookup"
"G4337","beware","lookup"
"G4337","to pay attention","lookup"
"G4337","devote","lookup"
"G4337","apply oneself","lookup"
"G4342","to join","lookup"
"G4342","adhere attend to","lookup"
"G4342","to be ready","lookup"
"G4342","to give attention","lookup"
"G4342","be faithful","lookup"
"G4342","to spend much time together","description"
"G4574","object of worship","lookup"
"G4574","some translate as a place of worship sanctuary","description"
"G4980","to devote oneself to","description"
"G4980","to be unoccupied","lookup"
"G4980","stand empty","lookup"
"G5021","(active/middle) to appoint","lookup"
"G5021","determine","lookup"
"G5021","arrange","lookup"
"G5021","devote","lookup"
"G5021","(passive) to be established","description"
"G5021","appointed","lookup"
"G5021","assigned","lookup"
"G5387","devoted","lookup"
"G5387","loving dearly","lookup"
"G1391","This word has a wide range of meanings in the NT","description"
"G1391","corresponding closely the H3519 glory","description"
"G1391","splendor","lookup"
"G1391","brilliance","lookup"
"G1391","from the base meaning of the awesome light that radiates from God’s presence and is associated with his acts of power","description"
"G1391","honor","lookup"
"G1391","praise","lookup"
"G1391","speaking of words of excellence and assigning highest status to God","description"
"G4586","worthy of respect","lookup"
"G4586","noble","lookup"
"G4587","holiness","lookup"
"G4587","seriousness","lookup"
"G4587","respect dignity","lookup"
"G8117","dignity","lookup"
"G0144","insight","lookup"
"G0145","sense","lookup"
"G0145","faculty","lookup"
"G0350","to examine","lookup"
"G0350","judge (in both a general and a legal sense)","description"
"G1252","to make a distinction","description"
"G1252","judge a dispute","lookup"
"G1252","(middle/passive) to doubt","lookup"
"G1252","hesitate","lookup"
"G1252","waver","lookup"
"G1253","distinguishing","lookup"
"G1253","differentiation","lookup"
"G1253","passing judgment discernment","lookup"
"G1260","to think","lookup"
"G1260","wonder about","lookup"
"G1260","to talk","lookup"
"G1260","discuss","lookup"
"G1260","argue","lookup"
"G1381","testing","lookup"
"G1381","trying","lookup"
"G1381","examination","lookup"
"G2924","able to discern or judge discerning","description"
"G4907","understanding","lookup"
"G4907","insight","lookup"
"G4907","intelligence","lookup"
"G4907","the faculty of comprehension","description"
"G4907","often referring to wisdom and insight in spiritual matters","description"
"G4908","intelligent","lookup"
"G4908","learned","lookup"
"G4908","with good sense","lookup"
"G0506","rebellious","lookup"
"G0506","disobedient","lookup"
"G0506","not made subject to","description"
"G0506","independent","lookup"
"G0543","disobedience","lookup"
"G0544","to disobey","lookup"
"G0544","be disobedient","lookup"
"G0545","disobedient","lookup"
"G3876","disobedience","lookup"
