"strong","sense_label","gloss","note","row_type"
"G0218","I","-ψω",": future , (ἐξ-) : aorist ἤλειψα, Attic dialect , Epic dialect ἄλειψα perfect ἀλήλῐφα (ἀπ-) :— middle , future aorist ἠλειψάμην Attic dialect , Epic dialect ἀλ- — passive , future ἀλειφθήσομαι (ἐξ-) : aorist 1 ἠλείφθην aorist 2 ἐξ-ηλίφην variant in , (ἀπ-) , (ἐξ-, ὑπ-) :— , as was done after bathing, active referring to another, middle to oneself, λοῦσαι κέλετ᾽ ἀμφί τ᾽ ἀλεῖψαι: later of , λίπα μετὰ τοῦ γυμνάζεσθαι ἠλείψαντο; of the sick,","lookup"
"G0218","I","-ψομαι",": future , (ἐξ-) : aorist ἤλειψα, Attic dialect , Epic dialect ἄλειψα perfect ἀλήλῐφα (ἀπ-) :— middle , future aorist ἠλειψάμην Attic dialect , Epic dialect ἀλ- — passive , future ἀλειφθήσομαι (ἐξ-) : aorist 1 ἠλείφθην aorist 2 ἐξ-ηλίφην variant in , (ἀπ-) , (ἐξ-, ὑπ-) :— , as was done after bathing, active referring to another, middle to oneself, λοῦσαι κέλετ᾽ ἀμφί τ᾽ ἀλεῖψαι: later of , λίπα μετὰ τοῦ γυμνάζεσθαι ἠλείψαντο; of the sick,","lookup"
"G0218","I","anoint the skin with oil",": future , (ἐξ-) : aorist ἤλειψα, Attic dialect , Epic dialect ἄλειψα perfect ἀλήλῐφα (ἀπ-) :— middle , future aorist ἠλειψάμην Attic dialect , Epic dialect ἀλ- — passive , future ἀλειφθήσομαι (ἐξ-) : aorist 1 ἠλείφθην aorist 2 ἐξ-ηλίφην variant in , (ἀπ-) , (ἐξ-, ὑπ-) :— , as was done after bathing, active referring to another, middle to oneself, λοῦσαι κέλετ᾽ ἀμφί τ᾽ ἀλεῖψαι: later of , λίπα μετὰ τοῦ γυμνάζεσθαι ἠλείψαντο; of the sick,","lookup"
"G0218","I","anointing for gymnastic exercises",": future , (ἐξ-) : aorist ἤλειψα, Attic dialect , Epic dialect ἄλειψα perfect ἀλήλῐφα (ἀπ-) :— middle , future aorist ἠλειψάμην Attic dialect , Epic dialect ἀλ- — passive , future ἀλειφθήσομαι (ἐξ-) : aorist 1 ἠλείφθην aorist 2 ἐξ-ηλίφην variant in , (ἀπ-) , (ἐξ-, ὑπ-) :— , as was done after bathing, active referring to another, middle to oneself, λοῦσαι κέλετ᾽ ἀμφί τ᾽ ἀλεῖψαι: later of , λίπα μετὰ τοῦ γυμνάζεσθαι ἠλείψαντο; of the sick,","lookup"
"G0218","I","anointing",": future , (ἐξ-) : aorist ἤλειψα, Attic dialect , Epic dialect ἄλειψα perfect ἀλήλῐφα (ἀπ-) :— middle , future aorist ἠλειψάμην Attic dialect , Epic dialect ἀλ- — passive , future ἀλειφθήσομαι (ἐξ-) : aorist 1 ἠλείφθην aorist 2 ἐξ-ηλίφην variant in , (ἀπ-) , (ἐξ-, ὑπ-) :— , as was done after bathing, active referring to another, middle to oneself, λοῦσαι κέλετ᾽ ἀμφί τ᾽ ἀλεῖψαι: later of , λίπα μετὰ τοῦ γυμνάζεσθαι ἠλείψαντο; of the sick,","lookup"
"G0218","I.2","supply oil","for gymnasts, ἀλειφούσης τῆς πόλεως ; ἀ. πανήγυριν, ἔθνη, ; οἱ -όμενοι , ; οἱ ἀ. ἐν τῷ γυμνασίῳ ; ἀλείφεσθαι παρά τινι a ,","lookup"
"G0218","I.2","youths undergoing gymnastic training","for gymnasts, ἀλειφούσης τῆς πόλεως ; ἀ. πανήγυριν, ἔθνη, ; οἱ -όμενοι , ; οἱ ἀ. ἐν τῷ γυμνασίῳ ; ἀλείφεσθαι παρά τινι a ,","lookup"
"G0218","I.2","to attend","for gymnasts, ἀλειφούσης τῆς πόλεως ; ἀ. πανήγυριν, ἔθνη, ; οἱ -όμενοι , ; οἱ ἀ. ἐν τῷ γυμνασίῳ ; ἀλείφεσθαι παρά τινι a ,","lookup"
"G0218","I.2","gymnastic school","for gymnasts, ἀλειφούσης τῆς πόλεως ; ἀ. πανήγυριν, ἔθνη, ; οἱ -όμενοι , ; οἱ ἀ. ἐν τῷ γυμνασίῳ ; ἀλείφεσθαι παρά τινι a ,","lookup"
"G0218","I.3","polish",", τράπεζαν","lookup"
