"strong","related_strong","related_form","related_transliteration","related_gloss","status"
"G0134","G0133","αἴνεσις","ainesis","praise","ok"
"G0134","G0136","αἶνος","ainos","praise","ok"
"G0134","G1867","ἐπαινέω","epaineō","to praise","ok"
"G0134","G3867","παραινέω","paraineō","to urge","ok"
"G0136","G0134","αἰνέω","aineō","to praise","ok"
"G0136","G1868","ἔπαινος","epainos","praise","ok"
"G0139","G0138","αἱρέω","haireō","to choose","ok"
"G0139","G0140","αἱρετίζω","hairetizō","to choose","ok"
"G0139","G0141","αἱρετικός","hairetikos","schismatic","ok"
"G0139","G0830","αὐθαίρετος","authairetos","self-chosen","ok"
"G0139","G4255","προαιρέω","proaireō","to predetermine","ok"
"G0139","G4400","προχειρίζω","procheirizō","to appoint","ok"
"G0139","G4401","προχειροτονέω","procheirotoneō","to choose","ok"
"G0141","G0138","αἱρέω","haireō","to choose","ok"
"G0141","G0139","αἵρεσις","hairesis","sect","ok"
"G0141","G0140","αἱρετίζω","hairetizō","to choose","ok"
"G0141","G0830","αὐθαίρετος","authairetos","self-chosen","ok"
"G0141","G4255","προαιρέω","proaireō","to predetermine","ok"
"G0141","G4400","προχειρίζω","procheirizō","to appoint","ok"
"G0141","G4401","προχειροτονέω","procheirotoneō","to choose","ok"
"G0143","G0144","αἴσθησις","aisthēsis","insight","ok"
"G0143","G0145","αἰσθητήριον","aisthētērion","sense","ok"
"G0143","G1271","διάνοια","dianoia","mind","ok"
"G0143","G1272","διανοίγω","dianoigō","to open up","ok"
"G0143","G1771","ἔννοια","ennoia","thought/purpose","ok"
"G0143","G1950","ἐπιλανθάνω","epilanthanō","to forget","ok"
"G0143","G1963","ἐπίνοια","epinoia","thought","ok"
"G0143","G3105","μαίνομαι","mainomai","to rave","ok"
"G0143","G3539","νοέω","noeō","to understand","ok"
"G0143","G3543","νομίζω","nomizō","to think","ok"
"G0143","G4307","πρόνοια","pronoia","foresight","ok"
"G0143","G5283","ὑπόνοια","huponoia","suspicion","ok"
"G0144","G0143","αἰσθάνομαι","aisthanomai","to perceive","ok"
"G0145","G0143","αἰσθάνομαι","aisthanomai","to perceive","ok"
"G0146","G0147","αἰσχροκερδῶς","aischrokerdōs","greedily","ok"
"G0146","G0150","αἰσχρός","aischros","shameful","ok"
"G0146","G2771","κέρδος","kerdos","gain","ok"
"G0147","G0146","αἰσχροκερδής","aischrokerdēs","greedy","ok"
"G0147","G0150","αἰσχρός","aischros","shameful","ok"
"G0147","G2771","κέρδος","kerdos","gain","ok"
"G0149","G0148","αἰσχρολογία","aischrologia","obscenity","ok"
"G0149","G0150","αἰσχρός","aischros","shameful","ok"
"G0149","G0151","αἰσχρότης","aischrotēs","obscenity","ok"
"G0149","G0152","αἰσχύνη","aischunē","shame","ok"
"G0149","G0153","αἰσχύνω","aischunō","be ashamed","ok"
"G0149","G0422","ἀνεπαίσχυντος","anepaischuntos","unashamed","ok"
"G0149","G1870","ἐπαισχύνομαι","epaischunomai","be ashamed of","ok"
"G0149","G2617","καταισχύνω","kataischunō","to dishonor","ok"
"G0150","G0148","αἰσχρολογία","aischrologia","obscenity","ok"
"G0150","G0150","αἰσχρός","aischros","shameful","ok"
"G0150","G0151","αἰσχρότης","aischrotēs","obscenity","ok"
"G0150","G0152","αἰσχύνη","aischunē","shame","ok"
"G0150","G0153","αἰσχύνω","aischunō","be ashamed","ok"
"G0150","G0422","ἀνεπαίσχυντος","anepaischuntos","unashamed","ok"
"G0150","G1870","ἐπαισχύνομαι","epaischunomai","be ashamed of","ok"
"G0150","G2617","καταισχύνω","kataischunō","to dishonor","ok"
"G0152","G0148","αἰσχρολογία","aischrologia","obscenity","ok"
"G0152","G0150","αἰσχρός","aischros","shameful","ok"
"G0152","G0151","αἰσχρότης","aischrotēs","obscenity","ok"
"G0152","G0153","αἰσχύνω","aischunō","be ashamed","ok"
"G0152","G0422","ἀνεπαίσχυντος","anepaischuntos","unashamed","ok"
"G0152","G1870","ἐπαισχύνομαι","epaischunomai","be ashamed of","ok"
"G0152","G2617","καταισχύνω","kataischunō","to dishonor","ok"
"G0153","G0148","αἰσχρολογία","aischrologia","obscenity","ok"
"G0153","G0150","αἰσχρός","aischros","shameful","ok"
"G0153","G0151","αἰσχρότης","aischrotēs","obscenity","ok"
"G0153","G0152","αἰσχύνη","aischunē","shame","ok"
"G0153","G0422","ἀνεπαίσχυντος","anepaischuntos","unashamed","ok"
"G0153","G1870","ἐπαισχύνομαι","epaischunomai","be ashamed of","ok"
"G0153","G2617","καταισχύνω","kataischunō","to dishonor","ok"
"G0154","G0155","αἴτημα","aitēma","request","ok"
"G0154","G3868","παραιτέομαι","paraiteomai","to refuse/excuse","ok"
"G0156","G0154","αἰτέω","aiteō","to ask","ok"
"G0156","G0157","αἰτίαμα","aitiama","charge","ok"
"G0158","G0156","αἰτία","aitia","cause/charge","ok"
"G0158","G0159","αἴτιος","aitios","causer","ok"
"G0159","G0154","αἰτέω","aiteō","to ask","ok"
"G0159","G0159","αἴτιος","aitios","causer","ok"
"G0159","G0338","ἀναίτιος","anaitios","innocent","ok"
"G0165H","G0104","ἀεί","aei","always","ok"
"G0165H","G0165G","αἰών","aiōn","an age: age","ok"
"G0165H","G0165H","αἰών","aiōn","an age: eternity","ok"
"G0165H","G0166","αἰώνιος","aiōnios","eternal","ok"
"G0165H","G5550","χρόνος","chronos","time","ok"
"G0167","G0168","ἀκαθάρτης","akathartēs","uncleanness","ok"
"G0167","G0169","ἀκάθαρτος","akathartos","unclean","ok"
"G0167","G2511","καθαρίζω","katharizō","to clean","ok"
"G0167","G2512","καθαρισμός","katharismos","cleansing","ok"
