"strong","strong_variant","sense_label","gloss","note","row_type"
"G3710","","II","grow angry, be wroth, with, in a passion, angry","more frequently in passive , future middle (in passive sense) ὀργιοῦμαι : aorist ὠργίσθην : perfect ὤργισμαι : participle , τίς γὰρ.. οὐκ ἂν ὀργίζοιτ᾽.. κλύων, etc.; τινι a person or thing, : absolutely , in participle , ἄνθρωπος -όμενος ; τὸ -όμενον τῆς γνώμης their feelings,","lookup"
"G3947","","headword","παροξ-ύνω",",","headword"
"G3947","","I","urge, spur on, stimulate","perfect infinitive παρωξυκέναι :— passive , perfect παρώξυμμαι :— , τινα ; τὰ ζεύγη πρὸς τὸ ἔργον ; τινα with infinitive , ; opposed to ἀποτρέπω,","lookup"
"G3947","","I.2","provoke, irritate, to be provoked, growvirulent",", πατρὸς μὴ π. φρένας ; ξὺν κατηγορίᾳ π. :— passive , , τινι at a thing, ; ὑπό τινος Lys. [prev. cited]; κατὰ τῶν πολιτῶν infinitive , τίς οὐκ ἂν παροξυνθείη πολεμεῖ; :— passive , of sicknesses, , π. οἱ πυρετοί","lookup"
"G3947","","I.3","make, stronger","an application ,","lookup"
"G3947","","II","","={παροξυτονέω}, :— passive ,","lookup"
"G3947","","III","hasten.","intransitive ,","lookup"
"G3949","","headword","παροργ-ίζω",",","headword"
"G3949","","I","-ιῶ, provoke to anger","future :— ,","lookup"
"G3949","","II","to be, be made angry","passive , or , ; τι πρός τινας see reading in","lookup"
"G3950","","headword","παροργ-ισμός",", ὁ,","headword"
"G3950","","I","provocation: anger",",","lookup"
"G7026","","headword","ἐγκότ-ημα",", ατος, τό,","headword"
"G7026","","I","","= {ἐγκότησις},","lookup"
"G8318","","headword","μῆνις",",","headword"
"G8318","","I","μᾶν-, wrath, revengeful temper","Doric dialect and Aeolic dialect , ἡ, genitive μήνιος :— ; from downwards frequently of the of the gods, ; μῆνιν ἔχειν ἀπὸ θεοῦ Vett.; also of the dead worshipped as heroes, τοῖσι μ. κατέσκηψε Ταλθυβίου ; of injured parents, ; of suppliants, : but also, generally, of the of Achilles, ; of the of a people,","lookup"
"G2347","","headword","θλῖψις",", εως, ἡ,","headword"
"G2347","","I","pressure",", ; ἀντέρεισις καὶ θ. ; of the pulse, ; ὑστερικαὶ θ.","lookup"
"G2347","","I.2","crushing, castration",", πώλων","lookup"
"G2347","","I.3","oppression, affliction","metaphorically , ,","lookup"
"G3601","","headword","ὀδῠν-η",", ἡ,","headword"
"G3601","","I","pain of body","ὀδύνῃσι κακῇσι τειρόμενος ; ὀδύναι δῦνον μένος Ἀτρείδαο","lookup"
"G3601","","I.2","pain of mind, grief, distress, grief for, pain caused by","once in him, always in plural , ὀδύνας τε γόους τε κάλλιπεν ; opposed to φιλότητες, : but the singular also occurs, ἐξ ὀλίγης ὀ. μέγα γίνεται ἄλγος ; γλώσσας ὀ. the tongue, ; τοῖς νενικημένοις ὀδύνη,=Latin vae victis!","lookup"
"G4192","","headword","πόνος",", ὁ,","headword"
