"lemma_key","sort","sense_code","gloss","verse_refs","note","row_type"
"G0074","0","","contest","Luk.22.44","*","lookup"
"G0074","0","","violent struggle","Luk.22.44","*","lookup"
"G0074","0","","agony","Luk.22.44","*","lookup"
"G0074","0","","anguish","Luk.22.44","*","lookup"
"G0074","0","","anxiety","Luk.22.44","*","lookup"
"G0080","0","","brother","","","lookup"
"G0080","0","","fellow countryman","","","lookup"
"G0080","0","","neighbor (often inclusive in gender)","","","description"
"G0080","0","","by extension a fellow believer in the family of faith","","","description"
"G0080","0","","in the plural brothers regularly refers to men and women","","","description"
"G0080","1","","a brother","","or or","lookup"
"G0080","1","","near kinsman","","or or","lookup"
"G0080","1","","relative","","or or","lookup"
"G0080","1","","one of the same nation","","or or","description"
"G0080","1","","nature","","or or","lookup"
"G0080","1","","one of equal rank and dignity","","or or","description"
"G0080","1","","an associate","","or or","lookup"
"G0080","1","","a member of the Christian community","","or or","description"
"G0085","0","","to be troubled","","","lookup"
"G0085","0","","distressed","","","lookup"
"G0085","1","","to be depressed","Mat.26.37; Mrk.14.33; Php.2.26","or or ; ; *","lookup"
"G0085","1","","dejected","Mat.26.37; Mrk.14.33; Php.2.26","or or ; ; *","lookup"
"G0085","1","","full of anguish","Mat.26.37; Mrk.14.33; Php.2.26","or or ; ; *","lookup"
"G0085","1","","sorrow","Mat.26.37; Mrk.14.33; Php.2.26","or or ; ; *","lookup"
"G0090","0","","sincerity","","","lookup"
"G0090","0","","integrity","","","lookup"
"G0090","0","","incorruptibility","","","lookup"
"G0090","0","","soundness","","","lookup"
"G0090","0","","unspoilable","","","lookup"
"G0092","0","","crime","","","lookup"
"G0092","0","","unrighteous or unjust act","","","description"
"G0092","1","","an act of injustice","Act.18.14; Rev.18.5","24:20; *","description"
"G0093","0","","wickedness","","","lookup"
"G0093","0","","evil","","","lookup"
"G0093","0","","wrongdoing","","","lookup"
"G0093","1","","injustice","","","lookup"
"G0093","1","","wrong","","","lookup"
"G0093","1","","iniquity","","","lookup"
"G0093","1","","falsehood","","","lookup"
"G0093","1","","deceitfulness","","","lookup"
"G0094","0","","unjust judge","","","lookup"
"G0094","0","","unrighteous","","","lookup"
"G0096","0","","failing the test","","","lookup"
"G0096","0","","rejected","","","lookup"
"G0096","1","","unable to stand test","","","description"
"G0096","1","","refuse","","","lookup"
"G0096","1","","worthless","","","lookup"
"G0097","0","","pure","","","lookup"
"G0097","0","","uncontaminated or tainted","","","lookup"
"G0097","1","","without deceit","1Pe.2.2","*","lookup"
"G0097","1","","sincere","1Pe.2.2","*","lookup"
"G0101","0","","not to be able","Mat.17.20; Luk.1.37","; *","description"
"G0101","0","","to be impossible","Mat.17.20; Luk.1.37","; *","lookup"
"G0102","0","","impossible","","","lookup"
"G0102","0","","powerless","","","lookup"
"G0102","1","","impotent","","","lookup"
"G0102","1","","weak","","","lookup"
"G0103","0","","to sing","Eph.5.19; Col.3.16; Rev.5.9","14:3; 15:3*","lookup"
"G0111","0","","unlawful","Act.10.28; 1Pe.4.3","*","lookup"
"G0111","0","","criminal","Act.10.28; 1Pe.4.3","*","lookup"
"G0111","0","","wicked","Act.10.28; 1Pe.4.3","*","lookup"
"G0111","0","","detestable","Act.10.28; 1Pe.4.3","*","lookup"
"G0114","0","","to reject","","","lookup"
"G0114","0","","set aside","","","lookup"
"G0114","1","","to displace","","primarily","lookup"
"G0114","1","","to abrogate","","primarily","lookup"
"G0114","1","","annul","","primarily","lookup"
"G0114","1","","violate","","primarily","lookup"
"G0114","1","","swerve from","","primarily","lookup"
"G0114","1","","reject","","primarily","lookup"
"G0114","1","","condemn","","primarily","lookup"
"G0120","0","","to be discouraged","Col.3.21","*","lookup"
"G0120","0","","lose heart","Col.3.21","*","lookup"
"G0121","0","","unpunished","Mat.27.4, 24","metaphorically *","lookup"
"G0121","0","","innocent","Mat.27.4, 24","metaphorically *","lookup"
"G0133","0","","praise","","","lookup"
"G0133","0","","speaking of the excellence of someone or something","","","description"
"G0133","1","","praise","Heb.13.15","*","lookup"
"G0134","0","","to praise","","","lookup"
"G0134","0","","in the NT","","","lookup"
"G0134","0","","speaking of the excellence of God","","","description"
"G0134","1","","celebrate","","","lookup"
"G0136","0","","praise","Mat.21.16; Luk.18.43","; *","lookup"
"G0139","0","","a choice","","strictly, or hence, by implication","lookup"
"G0139","0","","option","","strictly, or hence, by implication","lookup"
"G0139","0","","a religious sect","","strictly, or hence, by implication","lookup"
"G0139","0","","faction","","strictly, or hence, by implication","lookup"
"G0139","0","","discord","","strictly, or hence, by implication","lookup"
"G0139","0","","contention","","strictly, or hence, by implication","lookup"
"G0139","0","","heresy","","strictly, or hence, by implication","lookup"
"G0141","0","","one who creates","Tit.3.10","or *","lookup"
"G0141","0","","fosters factions","Tit.3.10","or *","lookup"
"G0141","0","","is divisive","Tit.3.10","or *","lookup"
"G0143","0","","to perceive","Luk.9.45","*","lookup"
"G0143","0","","understand","Luk.9.45","*","lookup"
"G0143","0","","grasp","Luk.9.45","*","lookup"
"G0143","0","","have the capacity to understand","Luk.9.45","*","description"
"G0144","0","","insight","","","lookup"
"G0144","1","","perception","Php.1.9","*","lookup"
"G0144","1","","understanding","Php.1.9","*","lookup"
"G0145","0","","an organ of perception","Heb.5.14","*","description"
"G0145","0","","internal sense","Heb.5.14","*","lookup"
"G0145","0","","faculty","Heb.5.14","*","lookup"
"G0146","0","","eager for dishonorable or dishonest gain","1Ti.3.8; Tit.1.7","*","description"
