cluster,cluster_name,strongs,translit,language,n_keywords,self_check,keywords,suspect
M01,Fear,H8539,ta.mah,Hebrew,4,PASS,"astounded; stunned; amazed; dumbfounded",
M01,Fear,H8541,tim.ma.hon,Hebrew,3,PASS,"bewilderment; astonishment; stupefaction",
M01,Fear,H8606,tiph.le.tset,Hebrew,3,PASS,"terror; shuddering; horror",
M02,Anger,G0024,aganaktēsis,Greek,1,PASS,"indignation",
M02,Anger,G0485,antilogia,Greek,7,PASS,"dispute; argument; opposition; rebellion; contradiction; question; hostility",
M02,Anger,G2042,erethizō,Greek,8,PASS,"provoke; irritate; stir; arouse; embitter; exasperate; incite; stimulate",
M02,Anger,G2054,eris,Greek,7,PASS,"quarrel; strife; dissension; discord; altercation; contentious; disposition",
M02,Anger,G2200,zestos,Greek,7,PASS,"hot; primarily; boiled; boiling; glowing; zeal; fervent",
M02,Anger,G2371,thumomacheō,Greek,9,PASS,"quarrel; fighting; mad; wage; war; fiercely; warmly; hostile; enraged",
M02,Anger,G2373,thumoō,Greek,7,PASS,"anger; become; angry; provoke; passive; angered; enraged",
M02,Anger,G3055,logomachia,Greek,8,PASS,"quarrel; contention; strife; implication; dispute; trivial; unprofitable; controversy",
M02,Anger,G3709,orgē,Greek,21,PASS,"wrath; anger; expression; strong; displeasure; hostility; range; petty; human; righteous; god; sinful; disobedience; primarily; mental; bent; impulse; indignation; indignantly; vengeance; punishment",
M02,Anger,G3710,orgizō,Greek,21,PASS,"anger; angry; enraged; feel; express; strong; displeasure; hostility; range; petty; human; righteous; god; sinful; disobedience; list; deponent; provoke; irritate; passive; indignant",
M02,Anger,G3711,orgilos,Greek,6,PASS,"quick-tempered; inclined; anger; prone; irascible; passionate",
M02,Anger,G3947,paroxunō,Greek,10,PASS,"provoke; greatly; distressed; angered; irritated; sharpen; incite; stir; irritate; anger",
M02,Anger,G3948,paroxusmos,Greek,12,PASS,"stirring; sharp; disagreement; spurring; encouraging; inciting; incitement; fit; anger; contention; angry; dispute",
M02,Anger,G3949,parorgizō,Greek,4,PASS,"anger; exasperate; provoke; irritate",
M02,Anger,G3950,parorgismos,Greek,5,PASS,"anger; provocation; excited; indignation; wrath",
M02,Anger,G4088,pikria,Greek,4,PASS,"bitterness; spirit; language; harshness",
M02,Anger,G5379,filoneikia,Greek,5,PASS,"love; dispute; strife; contention; rivalry",
M02,Anger,G5380,filoneikos,Greek,6,PASS,"dispute-loving; contentious; quarrelsome; fond; contention; disputatious",
M02,Anger,H0599,a.naph,Hebrew,4,PASS,"angry; displeased; breathe; hard",
M02,Anger,H0888,be.esh,Hebrew,5,PASS,"displeased; evil; bad; displeasing; ash",
M02,Anger,H2152,zal.a.phah,Hebrew,4,PASS,"scorching; burning; heat; raging",
M02,Anger,H2194,za.am,Hebrew,4,PASS,"indignant; denounce; express; indignation",
M02,Anger,H2195,za.am,Hebrew,2,PASS,"indignation; anger",
M02,Anger,H2196,za.aph,Hebrew,7,PASS,"enrage; fret; sad; wroth; vexed; enraged; humour",
M02,Anger,H2197,za.aph,Hebrew,4,PASS,"rage; raging; storming; indignation",
M02,Anger,H2198,za.eph,Hebrew,4,PASS,"vexed; angry; raging; humour",
M02,Anger,H2528,che.ma,Hebrew,3,PASS,"rage; anger; mah",
M02,Anger,H2534,che.mah,Hebrew,9,PASS,"rage; heat; hot; displeasure; indignation; anger; wrath; poison; bottles",
M02,Anger,H2734,cha.rah,Hebrew,6,PASS,"incensed; hot; furious; burn; becomeangry; kindled",
M02,Anger,H2740,cha.ron,Hebrew,3,PASS,"burning; anger; heat",
M02,Anger,H2750,cho.ri,Hebrew,2,PASS,"burning; heat",
M02,Anger,H3707,ka.as,Hebrew,8,PASS,"provoke; angry; vexed; indignant; wroth; grieved; anger; wrath",
M02,Anger,H3708B,ka.a.s,Hebrew,4,PASS,"vexation; anger; provocation; grief",
M02,Anger,H4683,mats.tsah,Hebrew,2,PASS,"strife; contention",
M02,Anger,H4695,mats.tsut,Hebrew,2,PASS,"strife; contention",
M02,Anger,H4808,me.ri.vah,Hebrew,3,PASS,"provocation; strife; contention",
M02,Anger,H5307K,na.phal,Hebrew,31,PASS,"fall; angry; fallen; lie; cast; fail; prostrate; oneself; attack; desert; away; hand; short; turn; result; settle; waste; offered; inferior; cause; fell; throw; knock; lay; overthrow; make; lot; assign; apportion; let; drop",
M02,Anger,H6696B,tsur,Hebrew,6,PASS,"provoke; show; hostility; adversary; treat; foe",
M02,Anger,H7065,qa.na,Hebrew,4,PASS,"jealous; envy; envious; zealous",
M02,Anger,H7067H,qan.na,Hebrew,1,PASS,"jealous",
M02,Anger,H7068,qin.ah,Hebrew,3,PASS,"jealousy; ardour; zeal",
M02,Anger,H7072,qan.no,Hebrew,1,PASS,"jealous",
M02,Anger,H7107,qa.tsaph,Hebrew,5,PASS,"angry; displeased; fret; oneself; wroth",
M02,Anger,H7109,qe.tsaph,Hebrew,2,PASS,"wrath; anger",
M02,Anger,H7110A,qe.tseph,Hebrew,2,PASS,"wrath; anger",
M02,Anger,H7265,re.gaz,Hebrew,2,PASS,"enrage; rage",
M02,Anger,H7379,riv,Hebrew,3,PASS,"strife; controversy; dispute",
M03,Grief,G0928G,basanizō,Greek,22,PASS,"torture; torment; tortured; tormented; pain; primarily; apply; lapis; lydius; touchstone; examine; scrutinize; try; either; afflict; passive; afflicted; pained; diseases; tossed; agitated; waves",
M03,Grief,G0928H,basanizō,Greek,23,PASS,"torture; anguish; torment; tortured; tormented; pain; primarily; apply; lapis; lydius; touchstone; examine; scrutinize; try; either; afflict; passive; afflicted; pained; diseases; tossed; agitated; waves",
M03,Grief,G0931,basanos,Greek,21,PASS,"torment; severe; pain; torture; primarily; lapis; lydius; species; stone; lydia; being; applied; metals; thought; indicate; alloy; mixed; therefore; trial; examination; person",
M03,Grief,G2346,thlibō,Greek,15,PASS,"press; crowd; cause; trouble; narrow; pressed; troubled; persecuted; squeeze; encumber; throng; distress; afflict; passive; compressed",
M03,Grief,G2799,klaiō,Greek,9,PASS,"weep; cry; wail; mourn; intrans; shed; tears; transitive; bewail",
M03,Grief,G2805,klauthmos,Greek,2,PASS,"weeping; crying",
M03,Grief,G2875,koptō,Greek,11,PASS,"cut; mourn; beat; breast; smite; middle; one's; self; mourning; lament; bewail",
M03,Grief,G3076,lupeō,Greek,17,PASS,"grieve; cause; sorrow; grief; sorrowful; sad; distressed; grieveto; occasion; distress; passive; grieved; pained; aggrieve; cross; vex; feel",
M03,Grief,G3600,odunaō,Greek,12,PASS,"anguished; grieve; anxious; agony; pain; either; bodily; mentally; passive; tormented; distressed; grieved",
M03,Grief,G3601,odunē,Greek,6,PASS,"anguish; grief; pain; body; mind; sorrow",
M03,Grief,G3602,odurmos,Greek,6,PASS,"mourning; deep; sorrow; lamentation; bitter; wailing",
M03,Grief,G3996,pen.the.o,Greek,11,PASS,"mourn; grieve; trans; lament; sad; middle; bewail; one's; self; feel; guilt",
M03,Grief,G3997,penthos,Greek,4,PASS,"grief; mourning; sadness; sorrow",
M03,Grief,G4036,perilupos,Greek,7,PASS,"sorrowful; overwhelmingly; greatly; distressing; grieved; exceedingly; distressed",
M03,Grief,G4087,pikrainō,Greek,13,PASS,"embitter; turn; sour; make; bitter; become; embittered; render; passive; made; grow; angry; harsh",
M03,Grief,G4192,ponos,Greek,9,PASS,"travail; pain; agony; hard; work; toil; labor; misery; anguish",
M03,Grief,G4660,skullō,Greek,11,PASS,"trouble; bother; annoy; harassed; oneself; flay; lacerate; vex; passive; sorry; plight",
M03,Grief,G4726,stenagmos,Greek,5,PASS,"groan; sigh; sighing; groaning; inward",
M03,Grief,G4729,stenochōreō,Greek,15,PASS,"press; crushed; withhold; restricted; crowd; together; narrow; place; straiten; passive; straits; cooped; cramped; action; restrict",
M03,Grief,G4818,sullupeō,Greek,5,PASS,"grieved; deeply; distressed; grieve; together",
M03,Grief,G4841,sumpaschō,Greek,7,PASS,"suffer; share; suffering; sympathize; endure; corresponding; sufferings",
M03,Grief,G4928,sunochē,Greek,9,PASS,"anguish; distress; primarily; being; held; together; compression; mind; anxiety",
M03,Grief,G4959,sustenazō,Greek,5,PASS,"groan; join; groaning; together; lament",
M03,Grief,G5605,ōdinō,Greek,11,PASS,"labor; suffer; pains; childbirth; travail; birth; pangs; make; effort; bring; spiritual",
M03,Grief,H0056,a.val,Hebrew,2,PASS,"mourn; lament",
M03,Grief,H0057,a.vel,Hebrew,2,PASS,"mourning; mourner",
M03,Grief,H0060,e.vel,Hebrew,1,PASS,"mourning",
M03,Grief,H0584,a.nach,Hebrew,3,PASS,"sigh; groan; gasp",
M03,Grief,H0585,a.na.chah,Hebrew,2,PASS,"sighing; groaning",
M03,Grief,H0603,a.na.qah,Hebrew,3,PASS,"groaning; crying; lamentation",
M03,Grief,H1058,ba.khah,Hebrew,5,PASS,"weep; bewail; cry; shed; tears",
M03,Grief,H1059,be.kheh,Hebrew,2,PASS,"bitterly; weeping",
M03,Grief,H1065,be.khi,Hebrew,1,PASS,"weeping",
M03,Grief,H1068,be.khit,Hebrew,1,PASS,"weeping",
M03,Grief,H1671,de.a.von,Hebrew,5,PASS,"sorrow; fainting; pining; languishing; faintness",
M03,Grief,H1742,dav.va,Hebrew,1,PASS,"faint",
M03,Grief,H1830,da.ma,Hebrew,1,PASS,"weep",
M03,Grief,H1832,dim.ah,Hebrew,1,PASS,"tears",
M03,Grief,H2254C,cha.val,Hebrew,4,PASS,"labour; bring; forth; travail",
M03,Grief,H2256B,che.vel,Hebrew,4,PASS,"pain; sorrow; travail; pang",
M03,Grief,H2256M,che.vel,Hebrew,6,PASS,"pain; cord; rope; territory; band; company",
M03,Grief,H2470I,cha.lah,Hebrew,19,PASS,"weak; grieved; sorrowful; become; sick; diseased; sorry; feel; ill; make; oneself; made; tired; sore; show; signs; sickness; grieve; wounded",
M03,Grief,H3015,ya.gon,Hebrew,3,PASS,"sorrow; grief; anguish",
M03,Grief,H3510,ka.av,Hebrew,3,PASS,"pain; sore; sorrowful",
