strongs_number,transliteration,language,owner_count,owner_registries
G1374,dipsuchos,Greek,4,"182-Soul,183-heart,184-spirit,112-mind"
G1410,dunamai,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G1413,dunastēs,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G1414,dunateō,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G1832,exesti exon,Greek,4,"197-authority,199-dominion,187-strength,196-power"
G1917,epiboulē,Greek,4,"43-desire,173-will,126-purpose,32-counsel"
G2204,zeō,Greek,4,"56-envy,211-being,96-jealousy,181-zeal"
G2473,isopsuchos,Greek,4,"182-Soul,183-heart,184-spirit,112-mind"
G2616,katadunasteuō,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G3328,metaballō,Greek,4,"135-repentance,112-mind,209-likeness,202-transformation"
G4101,pistikos,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G4102H,pistis,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G4104,pistoō,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G5424,frēn,Greek,4,"80-humility,160-thought,112-mind,211-being"
H0518H,im,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H0518I,im,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H0518J,im,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H0599,a.naph,Hebrew,4,"4-anger,116-patience,123-pride,178-wrath"
H0600,a.naph,Hebrew,4,"4-anger,116-patience,123-pride,178-wrath"
H0601,a.na.phah,Hebrew,4,"4-anger,116-patience,123-pride,178-wrath"
H1481B,gur,Hebrew,4,"61-fear,11-awe,152-strife,158-terror"
H1933A,ha.va,Hebrew,4,"43-desire,105-lust,139-righteousness,193-craving"
H1933B,ha.vah,Hebrew,4,"43-desire,105-lust,139-righteousness,193-craving"
H2654B,cha.phats,Hebrew,4,"43-desire,173-will,126-purpose,42-delight"
H2657H,cheph.tsi-vah,Hebrew,4,"43-desire,173-will,126-purpose,42-delight"
H3335I,ya.tsar,Hebrew,4,"126-purpose,112-mind,51-distress,93-intention"
H3372H,ya.re,Hebrew,4,"61-fear,11-awe,138-reverence,158-terror"
H3373,ya.re,Hebrew,4,"61-fear,11-awe,138-reverence,158-terror"
H3589,kid,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H3652,ken,Hebrew,4,"48-diligence,52-division,67-goodness,108-meditation"
H3823B,lib.bev,Hebrew,4,"183-heart,184-spirit,33-courage,166-understanding"
H3834,le.vi.vah,Hebrew,4,"183-heart,184-spirit,33-courage,166-understanding"
H4605,ma.al,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4607,mo.al,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4608,ma.a.leh,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4609A,ma.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4609B,ma.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4753,mor,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4814,me.ri.rut,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4815,me.ri.ri,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4845,me.re.rah,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4846,me.ro.rah,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4853A,mas.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4853B,mas.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4856,mas.so,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4858,mas.sa.ah,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4864,mas.et,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4976,mat.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H4979,mat.ta.nah,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H4991,mat.tat,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5375G,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375H,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375I,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375K,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375L,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375M,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375N,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375P,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375Q,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375R,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375S,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375T,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375U,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375V,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375W,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375X,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5379,nis.set,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5385,ne.su.ah,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5387A,na.si,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5387B,na.si,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5411,ne.ti.nim,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414H,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414I,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414J,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414K,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414L,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414M,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414N,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414O,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414P,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414Q,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5415G,ne.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5415H,ne.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5415I,ne.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5798G,uz.za,Hebrew,4,"74-hardness,187-strength,196-power,198-might"
H5808,iz.zuz,Hebrew,4,"74-hardness,187-strength,196-power,198-might"
H5822,oz.niy.yah,Hebrew,4,"74-hardness,187-strength,196-power,198-might"
H5927H,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927I,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927J,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
