cluster,cluster_name,strongs,translit,type,type_mix,n_keywords,keywords
M10,Sin,H5766A,a.vel,STATUS,S100,3,"injustice; unrighteousness; lah"
M10,Sin,H5766B,av.lah,STATUS,S100,3,"injustice; unrighteousness; wrong"
M10,Sin,H5767,av.val,STATUS,S100,3,"unjust; perverse; unrighteous"
M10,Sin,H5771G,a.von,STATUS,S100,7,"iniquity; crime; perversity; depravity; guilt; punishment; consequence"
M10,Sin,H5771H,a.von,STATUS,S100,6,"iniquity; guilt; perversity; depravity; punishment; consequence"
M10,Sin,H5771I,a.von,STATUS,S100,6,"iniquity; punishment; perversity; depravity; guilt; consequence"
M10,Sin,H5932,al.vah,STATUS,S100,4,"iniquity; injustice; unrighteousness; lah"
M10,Sin,H6330,pu.qah,STATUS,S100,3,"staggering; tottering; stumbling"
M10,Sin,H6586,pa.sha,ACTION,A100,3,"transgress; rebel; revolt"
M10,Sin,H6588,pe.sha,STATUS,S100,2,"transgression; rebellion"
M10,Sin,H7564,rish.ah,STATUS,S100,2,"wickedness; guilt"
M10,Sin,H8397,te.vel,STATUS,S100,2,"perversion; confusion"
M10,Sin,H8419,tah.pu.khah,STATUS,S100,2,"perversity; perverse"
M10b,Wickedness,G0093,adikia,STATUS,S100,9,"unrighteousness; wickedness; evil; wrongdoing; injustice; wrong; iniquity; falsehood; deceitfulness"
M10b,Wickedness,G0824,atopos,QUALITY,Q100,12,"wrong; wicked; unusual; surprising; inopportune; unsuitable; absurd; new; strange; amiss; noxious; harmful"
M10b,Wickedness,G0946,bdelugma,STATUS,S100,5,"abomination; detestable; abominable; idolatry; pollution"
M10b,Wickedness,G0947,bdeluktos,QUALITY,Q100,2,"abominable; detestable"
M10b,Wickedness,G0987,blasfēmeō,ACTION,A100,11,"blaspheme; insult; slander; curse; defame; revile; speak; god; divine; impious; irreverence"
M10b,Wickedness,G2549,kakia,STATUS,S100,16,"evil; wickedness; depravity; malice; contexts; situation; difficult; hard; circumstance; rather; morally; corrupt; malignity; trouble; calamity; misfortune"
M10b,Wickedness,G2555,kakopoios,STATUS,S80/A20,2,"wrongdoing; evil-doer"
M10b,Wickedness,G4189,ponēria,STATUS,S100,18,"evil; wickedness; malice; always; negative; quality; opposed; god; goodness; badness; bad; disposition; mind; mischief; malignity; wicked; deeds; villanies"
