strongNumber,stepGloss,count,matched_clusters,matched_words
H5425B,to free,5,M38,free
H1891,to become vain,5,M30,become
H0047G,mighty: ox,5,"M23,T2",mighty
H4446,queen,5,"M23,T2",queen
H8421I,to return: reply,4,"M11,M45",return
H2957,to chase away,4,M07,away
H7313,to rise,4,M08,rise
H5307N,to fall: presenting,4,"M02,T2",fall
H7223I,first: chief,4,"M08,T2",first
G1779,to prepare burial,4,M12,prepare
G2952,little dog,4,"M31,T2",little
G4410,seat of honor,4,"FLAG,M22,T2","honor,seat"
G4801,to join,4,M10,join
G1723,to embrace,4,M05,embrace
G3373,to grow,4,"M23,T2",grow
G2661,to consider worthy,4,"FLAG,M22,M26",worthy
G3167,mighty,4,"M23,T2",mighty
G0311,delay,4,M09,delay
G1613,to disturb greatly,4,FLAG,disturb
G2667,to fall down,4,"M02,T2","down,fall"
G5104,certainly,4,T2,certainly
G4879,to lead away with,4,"M07,M23","away,lead"
G3786,gain,4,M46,gain
G2599,to burden,4,M36,burden
G5082,so great,4,"M23,T2",great
G5432,to guard,4,"FLAG,M30",guard
G4080,how great,4,"M23,T2",great
G0974,little scroll,4,"M31,T2",little
H2509,smooth,4,"FLAG,M14",smooth
H3231,to go right,4,M13,right
H8495,male goat,4,"FLAG,T2","goat,male"
H0579,to meet,4,M37,meet
H1610,single/height,4,M08,height
H2138,male,4,"FLAG,T2",male
H5254H,to test: try,4,M35,test
H0047H,mighty: stallion,4,"M23,T2",mighty
H1197H,to burn: destroy,4,"FLAG,M10,T2",destroy
H5190,to lift,4,M19,lift
H5437K,to turn: changed,4,M30,turn
H1778,to judge,4,"FLAG,M15,M26,M41,T2",judge
H4106,quick,4,M02,quick
H0502,to teach/learn,4,M15,teach
H2269,fellow,3,M44,fellow
H0311,after,3,M21,after
H5376,to lift,3,M19,lift
H2257,harm,3,"M03,M24,M27",harm
H6933,first,3,"M08,T2",first
H7964,parting gift,3,"M38,M39",gift
G0029,to force,3,M23,force
G5412,to burden,3,M36,burden
G5575,false witness,3,"M14,T2","false,witness"
G2622,to break,3,"FLAG,T2",break
G1615,to finish up,3,FLAG,finish
G4244,council of elders,3,M17,council
G4412,first,3,"M08,T2",first
G0387,to cause trouble,3,"M03,M07,M10,M10b,M17,M26,M35","cause,trouble"
G1602,to sail out/away,3,M07,away
G4354,to talk to/with,3,M14,talk
G4282,to prepare,3,M12,prepare
G4800,to live together,3,"FLAG,M25,T2","live,together"
G4869,fellow prisoner,3,M44,fellow
G5446,natural,3,M15,natural
G4976,form,3,"FLAG,M12",form
G1912,to burden,3,M36,burden
G2655,to burden,3,M36,burden
G2820,to obtain,3,FLAG,obtain
G2771,gain,3,M46,gain
G2245,how great?,3,"M23,T2",great
G3331,removal/change,3,M45,change
G3901,to drift away,3,M07,away
G5171,to self-indulge,3,"M08,M15,M19,M28,T2",self
H3318K,to come out: [sun]rise,3,M08,rise
H2640,lack,3,FLAG,lack
H6150,to grow dark,3,"M23,T2","dark,grow"
H6506,female mule,3,M36,female
H3718,double,3,"M20,T2",double
H7570,to boil,3,M02,boil
H5437J,to turn: repell,3,M30,turn
H0338,wild beast,3,"FLAG,T2","beast,wild"
H5414J,to give: turn,3,M30,turn
H5191,to lift,2,M19,lift
H4433,queen,2,"M23,T2",queen
H6537B,half,2,M24,half
H5214,to break,2,"FLAG,T2",break
G1170,a certain one,2,M13,certain
G2134,to become a eunuch,2,M30,become
G2485,little fish,2,"M31,T2",little
G3558H,(Queen of) the South,2,"M23,T2",queen
G0906I,to throw: sow,2,M07,throw
G2122,well timed,2,M33,well
G2365,little daughter,2,"M31,T2",little
G3662,to resemble,2,"M15,T2",resemble
G0309,recovery of sight,2,M25,recovery
G0360,to depart,2,M30,depart
G0479,to invite in return,2,"M11,M45",return
G1340,to insist,2,"M15,T2",insist
G2694,to drag away,2,M07,away
G4085,to press down,2,"FLAG,M03,T2","down,press"
G4366,to strike,2,M35,strike
G1822,to finish/furnish,2,FLAG,finish
G4843,to embrace,2,M05,embrace
G4898,companion,2,"M44,T2",companion
G0460,without law,2,"M33,M34,T2",without
G1677,to charge,2,M26,charge
G3446,form,2,"FLAG,M12",form
G4875,to rest with,2,M33,rest
G0753,master-builder,2,"FLAG,M23",master
G3787,eye-service,2,M36,service
G4696,stain,2,M12,stain
G4806,to make alive with,2,M25,alive
G4883,to join,2,M10,join
G4961,fellow soldier,2,M44,fellow
G1837,to ring/sound out,2,"M13,M15,M42",sound
G4035,to remain,2,M34,remain
G1317,able to teach,2,"M15,T2","able,teach"
G2085,to teach heresy,2,M15,teach
G2757,empty talk,2,M14,talk
G4200,gain,2,M46,gain
G4265,to foresee/plan,2,"FLAG,M15,M17,T2","foresee,plan"
G5178,to torture,2,M03,torture
G1926,to welcome,2,M41,welcome
G4764,luxury,2,M46,luxury
H0076,boil,2,M02,boil
H8166,female goat,2,"M36,T2","female,goat"
H1350I,to redeem: relative,2,FLAG,relative
H1633B,to break bones,2,"FLAG,T2",break
H4008,rash word,2,M15,word
H4275,half,2,M24,half
H7330,lean,2,M19,lean
H8335,ministry,2,"M36,T2",ministry
H2993,brother-in-law,2,M14,brother
H5375T,to lift: journey,2,M19,lift
H6965K,to arise: guard,2,"FLAG,M30",guard
H6995,little finger,2,"M31,T2",little
H5437I,to turn: again,2,M30,turn
H2684,bosom,2,M05,bosom
H6751,to shade,2,M27,shade
H7694,queen,2,"M23,T2",queen
H1540J,to reveal: proclaim,2,"M41,T2",proclaim
H4148I,discipline: bonds,2,M19,discipline
H5362A,to strike,2,M35,strike
H7685A,to grow,2,"M23,T2",grow
H7771A,rich,2,"FLAG,T2",rich
H8281,to free,2,M38,free
H1745,silence,2,M33,silence
H1762,falling,2,M34,falling
H4168,burning,2,"M01,M02",burning
H7310,abundance,2,M46,abundance
H2436J,bosom: secret,2,M05,bosom
