strongNumber,stepGloss,stepTransliteration,language,count,type
H7831,Shahazumah,sha.cha.tsi.mah,Hebrew,4,proper_noun
H7883G,Shihor,shi.chor,Hebrew,2,proper_noun
H7884,Shihor-libnath,shi.chor liv.nat,Hebrew,2,proper_noun
H7887,Shiloh,shi.lo,Hebrew,32,proper_noun
H7928G,Shechem,she.khem,Hebrew,2,proper_noun
H7942,Shikkeron,shik.ke.ron,Hebrew,1,proper_noun
H8061,Shemida,she.mi.da,Hebrew,3,proper_noun
H8110A,Shimron,shim.ron,Hebrew,2,proper_noun
H8301,Sarid,sa.rid,Hebrew,2,proper_noun
H8387,Taanath-shiloh,ta.a.nat shi.loh,Hebrew,2,proper_noun
H8556B,Timnath-serah,tim.nat se.rach,Hebrew,4,proper_noun
H8590,Taanach,ta.a.nakh,Hebrew,7,proper_noun
H8599B,Tappuah,tap.pu.ach,Hebrew,4,proper_noun
H0033,Abiezrite,a.vi ha.ez.ri,Hebrew,6,proper_noun
H0040H,Abimelech,a.vi.me.lekh,Hebrew,41,proper_noun
H0042,Abinoam,a.vi.no.am,Hebrew,4,proper_noun
H0064,Abel-keramim,a.vel ke.ra.mim,Hebrew,2,proper_noun
H0065,Abel-meholah,a.vel me.cho.lah,Hebrew,6,proper_noun
H0078,Ibzan,iv.tsan,Hebrew,2,proper_noun
H0137,Adoni-bezek,a.do.ni-ve.zeq,Hebrew,6,proper_noun
H0164G,Ehud,e.hud,Hebrew,8,proper_noun
H0303,Ahlab,ach.lav,Hebrew,1,proper_noun
H0356J,Elon,e.lon,Hebrew,2,proper_noun
H0673G,Ephraimite,eph.ra.ti,Hebrew,3,proper_noun
H0725,Arumah,a.ru.mah,Hebrew,1,proper_noun
H0758N,Mesopotamia,a.ram,Hebrew,1,proper_noun
H0843,Asherite,a.she.ri,Hebrew,2,proper_noun
H0876H,Beer,be.er,Hebrew,1,proper_noun
H0966G,Bezek,be.zeq,Hebrew,2,proper_noun
H1012,Beth-barah,bet ba.rah,Hebrew,4,proper_noun
H1029,Beth-shittah,bet hash.shit.tah,Hebrew,2,proper_noun
H1037,Beth-millo,bet mil.lo,Hebrew,8,proper_noun
H1043,Beth-anath,bet-a.nat,Hebrew,6,proper_noun
H1050,Beth-rehob,bet-re.chov,Hebrew,4,proper_noun
H1053I,Beth-shemesh,bet she.mesh,Hebrew,6,proper_noun
H1066,Bochim,bo.khim,Hebrew,2,proper_noun
H1145,Benjaminite,ben-ye.mi.ni,Hebrew,19,proper_noun
H1170,Baal-berith,ba.al be.rit,Hebrew,4,proper_noun
H1193,Baal-tamar,ba.al ta.mar,Hebrew,2,proper_noun
H1301,Barak,ba.raq,Hebrew,13,proper_noun
H1387H,Gibeah,ge.va,Hebrew,1,proper_noun
H1439,Gideon,gid.on,Hebrew,39,proper_noun
H1440,Gidom,gid.om,Hebrew,1,proper_noun
H1568I,Gilead,gil.ad,Hebrew,2,proper_noun
H1569,Gileadite,gil.a.di,Hebrew,11,proper_noun
H1603,Gaal,ga.al,Hebrew,9,proper_noun
H1617G,Gera,ge.ra,Hebrew,3,proper_noun
H1683H,Deborah,de.vo.rah,Hebrew,9,proper_noun
H1712,Dagon,da.gon,Hebrew,13,proper_noun
H1734G,Dodo,do.do,Hebrew,1,proper_noun
H1807,Delilah,de.li.lah,Hebrew,6,proper_noun
H1839,Danite,da.ni,Hebrew,5,proper_noun
H1985,Hillel,hil.lel,Hebrew,2,proper_noun
H2062,Zeeb,ze.ev,Hebrew,6,proper_noun
H2075,Zebulunite,ze.vu.lo.ni,Hebrew,3,proper_noun
H2078,Zebah,ze.vach,Hebrew,12,proper_noun
H2083,Zebul,ze.vul,Hebrew,6,proper_noun
H2268H,Heber,che.ver,Hebrew,5,proper_noun
H2462,Helbah,chel.bah,Hebrew,1,proper_noun
H2776G,Heres,che.res,Hebrew,1,proper_noun
H2800,Harosheth,cha.ro.shet,Hebrew,3,proper_noun
H2888,Tabbath,tab.bat,Hebrew,1,proper_noun
H2897,Tob,tov,Hebrew,4,proper_noun
H2971I,Jair,ya.ir,Hebrew,2,proper_noun
H2982,Jebus,ye.vus,Hebrew,4,proper_noun
H2985H,Jabin,ya.vin,Hebrew,7,proper_noun
H3003I,Jabesh,ya.vesh,Hebrew,10,proper_noun
H3011,Jogbehah,yog.be.hah,Hebrew,2,proper_noun
H3083G,Jonathan,ye.ho.na.tan,Hebrew,1,proper_noun
H3101G,Joash,yo.ash,Hebrew,9,proper_noun
H3147G,Jotham,yo.tam,Hebrew,4,proper_noun
H3278,Jael,ya.el,Hebrew,6,proper_noun
H3316H,Jephthah,yiph.tach,Hebrew,29,proper_noun
H3378,Jerubbaal,ye.rub.ba.al,Hebrew,14,proper_noun
H3500G,Jether,ye.ter,Hebrew,1,proper_noun
H3573,Cushan-rishathaim,ku.shan rish.a.ta.yim,Hebrew,8,proper_noun
H3829,Lebonah,le.vo.nah,Hebrew,1,proper_noun
H3870G,Luz,luz,Hebrew,1,proper_noun
H3895G,Lehi,le.chi,Hebrew,1,proper_noun
H3896,Lehi,le.chi,Hebrew,4,proper_noun
H3919A,Laish,la.yish,Hebrew,4,proper_noun
H3941,Lappidoth,lap.pi.dot,Hebrew,1,proper_noun
H4176H,Moreh,mo.reh,Hebrew,1,proper_noun
H4265,Mahaneh-dan,ma.cha.neh-dan,Hebrew,4,proper_noun
H4318G,Micah,mi.khah,Hebrew,19,proper_noun
H4321I,Micah,mi.kha.ye.hu,Hebrew,2,proper_noun
H4495,Manoah,ma.no.ach,Hebrew,18,proper_noun
H4496G,Nohah,me.nu.chah,Hebrew,1,proper_noun
H4511,Minnith,min.nit,Hebrew,2,proper_noun
H4519K,Moses,me.nash.sheh,Hebrew,1,proper_noun
H4584G,Maon,ma.on,Hebrew,6,proper_noun
H4629G,Maareh,ma.a.reh,Hebrew,1,proper_noun
H4708K,Mizpah,mits.peh,Hebrew,2,proper_noun
H4709G,Mizpah,mits.pah,Hebrew,34,proper_noun
H4789,Meroz,me.roz,Hebrew,1,proper_noun
H5025H,Nobah,no.vach,Hebrew,1,proper_noun
H5096,Nahalol,na.ha.lol,Hebrew,3,proper_noun
H5516G,Sisera,si.se.ra,Hebrew,19,proper_noun
H5651G,Ebed,e.ved,Hebrew,5,proper_noun
H5658H,Abdon,av.don,Hebrew,2,proper_noun
H5700H,Eglon,eg.lon,Hebrew,5,proper_noun
H5862G,Etam,e.tam,Hebrew,2,proper_noun
H5875,En-hakkore,en haq.qo.re,Hebrew,2,proper_noun
H5878,Harod,en cha.rod,Hebrew,2,proper_noun
H5910,Acco,ak.ko,Hebrew,1,proper_noun
H6067,Anath,a.nat,Hebrew,2,proper_noun
H6084H,Ophrah,oph.rah,Hebrew,5,proper_noun
H6159,Oreb,o.rev,Hebrew,7,proper_noun
H6252G,Ashtaroth,ash.ta.rot,Hebrew,6,proper_noun
H6274,Othniel,ot.ni.el,Hebrew,7,proper_noun
H6312H,Puah,pu.ah,Hebrew,1,proper_noun
H6513,Purah,pu.rah,Hebrew,2,proper_noun
H6552,Pirathon,pir.a.ton,Hebrew,1,proper_noun
H6553,Pirathon,pir.a.to.ni,Hebrew,5,proper_noun
H6759,Zalmunna,tsal.mun.na,Hebrew,12,proper_noun
H6828H,Zaphon,tsa.phon,Hebrew,3,proper_noun
H6857,Zephath,tse.phat,Hebrew,1,proper_noun
H6888,Zererah,tse.re.rah,Hebrew,1,proper_noun
H6924A,East,qe.dem,Hebrew,6,proper_noun
H6943J,Kedesh,qe.desh,Hebrew,1,proper_noun
H7003,Kitron,qit.ron,Hebrew,1,proper_noun
H7014G,Kenite,qa.yin,Hebrew,1,proper_noun
H7028,Kishon,qi.shon,Hebrew,6,proper_noun
H7056,Kamon,qa.mon,Hebrew,1,proper_noun
H7073I,Kenaz,qe.naz,Hebrew,5,proper_noun
H7340H,Rehob,re.chov,Hebrew,4,proper_noun
H7437,Ramath-lehi,ra.mat le.chi,Hebrew,2,proper_noun
H7641H,Shibboleth,shib.bo.let,Hebrew,1,proper_noun
H8044,Shamgar,sham.gar,Hebrew,2,proper_noun
H8069H,Shamir,sha.mir,Hebrew,2,proper_noun
H8123,Samson,shim.shon,Hebrew,38,proper_noun
H8167,Seirah,se.i.rah,Hebrew,1,proper_noun
H8169,Shaalbim,sha.al.vim,Hebrew,3,proper_noun
H8439H,Tola,to.la,Hebrew,1,proper_noun
H8554,Timnite,tim.ni,Hebrew,1,proper_noun
H0458,Elimelech,e.li.me.lekh,Hebrew,6,proper_noun
H0673H,Ephrathite,eph.ra.ti,Hebrew,2,proper_noun
H1162G,Boaz,bo.az,Hebrew,23,proper_noun
H3448,Jesse,yi.shay,Hebrew,42,proper_noun
H3630,Chilion,kil.yon,Hebrew,3,proper_noun
H4248,Mahlon,mach.lon,Hebrew,4,proper_noun
H4755,Mara,ma.ra,Hebrew,1,proper_noun
H5281,Naomi,no.o.mi,Hebrew,21,proper_noun
H5744G,Obed,o.ved,Hebrew,5,proper_noun
H6204,Orpah,or.pah,Hebrew,2,proper_noun
H7327,Ruth,rut,Hebrew,12,proper_noun
H0022G,Abiel,a.vi.el,Hebrew,2,proper_noun
H0026G,Abigail,a.vi.ga.yil a.vi.gal,Hebrew,20,proper_noun
H0029G,Abijah,a.viy.yah,Hebrew,2,proper_noun
H0041G,Abinadab,a.vi.na.dav,Hebrew,5,proper_noun
H0041H,Abinadab,a.vi.na.dav,Hebrew,4,proper_noun
H0041I,Abinadab,a.vi.na.dav,Hebrew,3,proper_noun
H0052,Abishai,a.vi.shay,Hebrew,25,proper_noun
H0054,Abiathar,ev.ya.tar,Hebrew,30,proper_noun
H0059G,Abel,a.vel,Hebrew,1,proper_noun
H0072,Ebenezer,e.ven ha.e.zer,Hebrew,6,proper_noun
H0074,Abner,a.vi.ner,Hebrew,63,proper_noun
H0090H,Agag,a.gag,Hebrew,7,proper_noun
H0237,Ezel,e.zel,Hebrew,1,proper_noun
H0281O,Ahijah,a.chiy.ya.hu,Hebrew,2,proper_noun
H0285G,Ahitub,a.chi.tuv,Hebrew,5,proper_noun
H0288G,Ahimelech,a.chi.me.lekh,Hebrew,12,proper_noun
H0288H,Ahimelech,a.chi.me.lekh,Hebrew,1,proper_noun
H0290G,Ahimaaz,a.chi.ma.ats,Hebrew,1,proper_noun
H0293G,Ahinoam,a.chi.no.am,Hebrew,1,proper_noun
H0293H,Ahinoam,a.chi.no.am,Hebrew,6,proper_noun
H0350,Ichabod,i-kha.vod,Hebrew,3,proper_noun
H0397,Achish,a.khish,Hebrew,21,proper_noun
H0446I,Eliab,e.li.av,Hebrew,6,proper_noun
H0453G,Elihu,e.li.hu,Hebrew,1,proper_noun
H0499H,Eleazar,el.a.zar,Hebrew,1,proper_noun
H0511H,Elkanah,el.qa.nah,Hebrew,10,proper_noun
H0647,Aphiah,a.phi.ach,Hebrew,1,proper_noun
H0663G,Aphek,a.pheq,Hebrew,3,proper_noun
H0917H,Barak,be.dan,Hebrew,1,proper_noun
H0949,Bozez,bo.tsets,Hebrew,1,proper_noun
H0966H,Bezek,be.zeq,Hebrew,1,proper_noun
H1022,Bethlehemite,bet hal.lach.mi,Hebrew,8,proper_noun
H1030,Bethshemite,bet-hash.shim.shi,Hebrew,4,proper_noun
H1033,Beth-car,bet kar,Hebrew,2,proper_noun
H1064,Becorath,be.kho.rat,Hebrew,1,proper_noun
H1308,Besor,be.s.vor,Hebrew,3,proper_noun
H1387G,Geba,ge.va,Hebrew,16,proper_noun
H1410H,Gad,gad,Hebrew,13,proper_noun
H1511,Girzite,giz.ri,Hebrew,4,proper_noun
H1516P,Gath,gay,Hebrew,1,proper_noun
H1555,Goliath,gol.yat,Hebrew,6,proper_noun
H1673,Doeg,do.eg,Hebrew,15,proper_noun
H2128H,Ziph,ziph,Hebrew,6,proper_noun
H2130,Ziphite,zi.phi,Hebrew,3,proper_noun
H2444,Hachilah,cha.khi.lah,Hebrew,3,proper_noun
H2584,Hannah,chan.nah,Hebrew,13,proper_noun
H2652,Hophni,choph.ni,Hebrew,5,proper_noun
H2793G,Horesh,cho.resh,Hebrew,4,proper_noun
H2802,Hereth,che.ret,Hebrew,1,proper_noun
H2923,Telaim,te.la.im,Hebrew,1,proper_noun
H3083H,Jonathan,ye.ho.na.tan,Hebrew,67,proper_noun
H3091H,Joshua,ye.ho.shu.a,Hebrew,2,proper_noun
H3097G,Joab,yo.av,Hebrew,141,proper_noun
H3100G,Joel,yo.el,Hebrew,4,proper_noun
H3129G,Jonathan,yo.na.tan,Hebrew,2,proper_noun
H3129N,Jonathan,yo.na.tan,Hebrew,31,proper_noun
H3157G,Jezreel,yiz.re.el,Hebrew,4,proper_noun
H3158G,Jezreel,yiz.re.e.li,Hebrew,4,proper_noun
H3277G,Wildgoats',ya.el,Hebrew,1,proper_noun
H3395G,Jeroham,ye.ro.cham,Hebrew,3,proper_noun
H3397,Jerahmeelite,ye.rach.me.e.li,Hebrew,2,proper_noun
H3440H,Ishvi,yish.vi,Hebrew,1,proper_noun
H3452G,Jeshimon,ye.shi.mon,Hebrew,4,proper_noun
H3614,Calebite,ka.lib.bi,Hebrew,1,proper_noun
H3761,Carmelite,kar.me.li,Hebrew,7,proper_noun
H3774G,Cherethite,ke.re.ti,Hebrew,3,proper_noun
H4051,Migron,mig.ron,Hebrew,2,proper_noun
H4259,Meholathite,me.cho.la.ti,Hebrew,2,proper_noun
H4309,Matrite,mat.ri,Hebrew,1,proper_noun
H4324G,Michal,mi.khal,Hebrew,17,proper_noun
H4363,Michmash,mikh.mas mikh.ma.s,Hebrew,11,proper_noun
H4444,Malchi-shua,mal.ki.shu.a,Hebrew,10,proper_noun
H4582,Maoch,ma.okh,Hebrew,1,proper_noun
H4708H,Mizpeh,mits.peh,Hebrew,1,proper_noun
H4764,Merab,me.rav,Hebrew,3,proper_noun
H5011,Nob,nov,Hebrew,6,proper_noun
H5037,Nabal,na.val,Hebrew,22,proper_noun
H5121,Naioth,na.vit,Hebrew,24,proper_noun
H5176G,Nahash,na.chash,Hebrew,4,proper_noun
H5369G,Ner,ner,Hebrew,15,proper_noun
H5573,Seneh,sen.neh,Hebrew,1,proper_noun
H5741,Adriel,ad.ri.el,Hebrew,2,proper_noun
H5872,Engedi,en ge.di,Hebrew,12,proper_noun
H5941,Eli,e.li,Hebrew,33,proper_noun
H6084G,Ophrah,oph.rah,Hebrew,2,proper_noun
H6372H,Phinehas,pi.ne.chas,Hebrew,7,proper_noun
H6444,Peninnah,pe.nin.nah,Hebrew,3,proper_noun
H6678G,Zobah,tso.va,Hebrew,11,proper_noun
H6689G,Zuph,tsuph,Hebrew,6,proper_noun
H6689H,Zuph,tsuph,Hebrew,1,proper_noun
H6766,Zelzah,tsel.tsach,Hebrew,1,proper_noun
H6860,Ziklag,tsiq.lag,Hebrew,15,proper_noun
H6870G,Zeruiah,tse.ru.yah,Hebrew,26,proper_noun
H6872C,Zeror,tse.ror,Hebrew,1,proper_noun
H7027G,Kish,qish,Hebrew,15,proper_noun
H7084,Keilah,qe.i.lah,Hebrew,18,proper_noun
H7414J,Ramah,ra.mah,Hebrew,15,proper_noun
H7436,Ramathaim-zophim,ra.ma.ta.yim tso.phim,Hebrew,2,proper_noun
H7586G,Saul,sha.ul,Hebrew,399,proper_noun
H7777A,Shual,shu.al,Hebrew,1,proper_noun
H7906,Secu,se.khu,Hebrew,1,proper_noun
H8031,Shalishah,sha.li.shah,Hebrew,1,proper_noun
H8048J,Shammah,sham.mah,Hebrew,2,proper_noun
H8050G,Samuel,she.mu.el,Hebrew,139,proper_noun
H8129,Shen,shen,Hebrew,1,proper_noun
H8171,Shaalim,sha.a.lim,Hebrew,1,proper_noun
H8189G,Shaaraim,sha.a.ra.yim,Hebrew,2,proper_noun
H8396H,Tabor,ta.vor,Hebrew,1,proper_noun
H8459,Tohu,to.chu,Hebrew,1,proper_noun
H0026H,Abigail,a.vi.ga.yil a.vi.gal,Hebrew,3,proper_noun
H0053,Absalom,a.vi.sha.lom,Hebrew,111,proper_noun
H0059H,Abel,a.vel,Hebrew,1,proper_noun
H0062,Abel-beth-maachah,a.vel bet-ma.a.khah,Hebrew,12,proper_noun
H0089,Agee,a.ge,Hebrew,1,proper_noun
H0151,Adoram,a.do.ram,Hebrew,2,proper_noun
H0223A,Uriah,u.riy.yah,Hebrew,26,proper_noun
H0266,Ahohite,a.cho.chi,Hebrew,5,proper_noun
H0283G,Ahio,ach.yo,Hebrew,3,proper_noun
H0286,Ahilud,a.chi.lud,Hebrew,5,proper_noun
H0290H,Ahimaaz,a.chi.ma.ats,Hebrew,13,proper_noun
H0302,Ahithophel,a.chi.to.phel,Hebrew,20,proper_noun
H0345H,Aiah,ay.yah,Hebrew,4,proper_noun
H0378,Ish-bosheth,ish-vo.shet,Hebrew,22,proper_noun
H0445G,Elhanan,el.cha.nan,Hebrew,2,proper_noun
H0463G,Eliam,e.li.am,Hebrew,1,proper_noun
H0499I,Eleazar,el.a.zar,Hebrew,2,proper_noun
H0522,Ammah,am.mah,Hebrew,1,proper_noun
H0550G,Amnon,am.non,Hebrew,27,proper_noun
H0669L,Ephraim,eph.ra.yim,Hebrew,1,proper_noun
H0728,Araunah,a.rav.nah,Hebrew,15,proper_noun
H0739,Ariel,a.ri.el,Hebrew,2,proper_noun
H0758M,Edom,a.ram,Hebrew,3,proper_noun
H0764,Armoni,ar.mo.ni,Hebrew,1,proper_noun
H0805B,Ashurite,a.shu.ri,Hebrew,1,proper_noun
H0863G,Ittai,it.tay,Hebrew,7,proper_noun
H0881G,Beeroth,be.e.rot,Hebrew,5,proper_noun
H0886,Beerothite,be.e.ro.ti,Hebrew,5,proper_noun
H0953B,Cistern,bor,Hebrew,1,proper_noun
H0980,Bahurim,ba.chu.rim,Hebrew,5,proper_noun
H0984,Betah,be.tach,Hebrew,1,proper_noun
H1075,Bichri,bikh.ri,Hebrew,8,proper_noun
H1141G,Benaiah,be.na.ya.hu,Hebrew,24,proper_noun
H1178,Baal-hazor,ba.al cha.tsor,Hebrew,2,proper_noun
H1188,Baal-perazim,ba.al pe.ra.tsim,Hebrew,8,proper_noun
H1196G,Baanah,ba.a.nah,Hebrew,4,proper_noun
H1268B,Berothai,be.ro.tay,Hebrew,1,proper_noun
H1271G,Barzillai,bar.zil.lay,Hebrew,7,proper_noun
H1271H,Barzillai,bar.zil.lay,Hebrew,1,proper_noun
H1276,Bichrites,be.rim,Hebrew,1,proper_noun
H1338,Bithron,bit.ron,Hebrew,1,proper_noun
H1339,Bathsheba,bat-she.va,Hebrew,22,proper_noun
H1359,Gob,gov,Hebrew,2,proper_noun
H1387I,Geba,ge.va,Hebrew,1,proper_noun
H1393,Gibeonite,giv.o.ni,Hebrew,8,proper_noun
H1520,Giah,gi.ach,Hebrew,1,proper_noun
H1526,Gilonite,gi.lo.ni,Hebrew,2,proper_noun
H1533G,Gilboa,gil.bo.a,Hebrew,3,proper_noun
H1542,Giloh,gi.loh,Hebrew,2,proper_noun
H1617H,Gera,ge.ra,Hebrew,4,proper_noun
H1664,Gittaim,git.ta.yim,Hebrew,2,proper_noun
H1734H,Dodo,do.do,Hebrew,5,proper_noun
H1842,Jaan,ya.an,Hebrew,1,proper_noun
H1909,Hadadezer,ha.dad.e.zer,Hebrew,9,proper_noun
H1928,Hadarezer,ha.dar.e.zer,Hebrew,12,proper_noun
H2043,Hararite,ha.ra.ri ra.ri,Hebrew,5,proper_noun
H2365,Hushai,chu.shay,Hebrew,14,proper_noun
H2431,Helam,che.lam,Hebrew,2,proper_noun
H2438G,Hiram,chi.ram,Hebrew,24,proper_noun
H2521,Helkath-hazzurim,chel.qat hats.tsu.rim,Hebrew,2,proper_noun
H2586G,Hanun,cha.nun,Hebrew,9,proper_noun
H2773,Horonaim,cho.ro.na.yim,Hebrew,5,proper_noun
H2843,Hushathite,chu.sha.ti,Hebrew,5,proper_noun
H2972,Jairite,ya.i.ri,Hebrew,1,proper_noun
H3041,Jedidiah,ye.di.de.yah,Hebrew,1,proper_noun
H3077G,Jehoiada,ye.ho.ya.da,Hebrew,21,proper_noun
H3082H,Jonadab,ye.ho.na.dav,Hebrew,1,proper_noun
H3083I,Jonathan,ye.ho.na.tan,Hebrew,4,proper_noun
H3083O,Jonathan,ye.ho.na.tan,Hebrew,3,proper_noun
H3092G,Jehoshaphat,ye.ho.sha.phat,Hebrew,4,proper_noun
H3122G,Jonadab,yo.na.dav,Hebrew,4,proper_noun
H3141G,Joram,yo.ram,Hebrew,1,proper_noun
H3157I,Jezreel,yiz.re.el,Hebrew,1,proper_noun
H3296,Jaare-oregim,ya.a.re o.re.gim,Hebrew,2,proper_noun
H3380,Jerubbesheth,ye.rub.be.shet,Hebrew,1,proper_noun
H3429,Josheb-basshebeth,yo.shev bash.she.vet,Hebrew,2,proper_noun
H3430,Ishbi-benob,yish.bo be.nov,Hebrew,5,proper_noun
H3481G,Ishmaelite,yis.re.e.li,Hebrew,1,proper_noun
H3501,Ithra,yit.ra,Hebrew,1,proper_noun
H3643,Chimham,kim.ham,Hebrew,7,proper_noun
H3774H,Cherethite,ke.re.ti,Hebrew,7,proper_noun
H3810,Lo-debar,lo de.var,Hebrew,8,proper_noun
H3919B,Laish,la.yish,Hebrew,2,proper_noun
H4316J,Mica,mi.kha,Hebrew,1,proper_noun
H4324H,Merab,mi.khal,Hebrew,1,proper_noun
H4353H,Machir,ma.khir,Hebrew,3,proper_noun
H4407,Millo,mil.lo,Hebrew,6,proper_noun
H4648G,Mephibosheth,me.phi.vo.shet,Hebrew,17,proper_noun
H4648H,Mephibosheth,me.phi.vo.shet,Hebrew,1,proper_noun
H4965,Metheg-ammah,me.teg ha.am.mah,Hebrew,2,proper_noun
H5176H,Nahash,na.chash,Hebrew,3,proper_noun
H5176I,Nahash,na.chash,Hebrew,1,proper_noun
H5176J,Nahash,na.chash,Hebrew,1,proper_noun
H5225,Nacon,na.khon,Hebrew,1,proper_noun
H5416G,Nathan,na.tan,Hebrew,4,proper_noun
H5416H,Nathan,na.tan,Hebrew,32,proper_noun
H5444,Sibbecai,sib.be.khay,Hebrew,4,proper_noun
H5593,Saph,saph,Hebrew,1,proper_noun
H5626,Sirah,si.rah,Hebrew,1,proper_noun
H5654,Obed-edom,o.ved e.dom,Hebrew,40,proper_noun
H5798A,Uzzah,uz.za,Hebrew,8,proper_noun
H5896G,Ira,i.ra,Hebrew,1,proper_noun
H5988H,Ammiel,am.mi.el,Hebrew,3,proper_noun
H5989J,Ammihud,am.mi.hud,Hebrew,1,proper_noun
H6021G,Amasa,a.ma.sa,Hebrew,15,proper_noun
H6112G,Eznite,e.tsen,Hebrew,1,proper_noun
H6214G,Asahel,a.sa.h.el,Hebrew,21,proper_noun
H6409H,Paltiel,pal.ti.el,Hebrew,1,proper_noun
H6432,Pelethite,pe.le.ti,Hebrew,7,proper_noun
H6560H,Perez-uzzah,pe.rets uz.za,Hebrew,2,proper_noun
H6659G,Zadok,tsa.doq,Hebrew,42,proper_noun
H6717,Ziba,tsi.va,Hebrew,16,proper_noun
H6762,Zela,tse.la,Hebrew,2,proper_noun
H6939,Kidron,qid.ron,Hebrew,11,proper_noun
H7274,Rogelim,ro.ge.lim,Hebrew,2,proper_noun
H7340I,Rehob,re.chov,Hebrew,2,proper_noun
H7394G,Rechab,re.khav,Hebrew,4,proper_noun
H7417B,Rimmon,rim.mon,Hebrew,3,proper_noun
H7497A,Rapha,ra.phah,Hebrew,6,proper_noun
H7532,Rizpah,rits.pah,Hebrew,4,proper_noun
H7629,Shobi,sho.vi,Hebrew,1,proper_noun
H7652A,Sheba,she.va,Hebrew,8,proper_noun
H7727G,Shobab,sho.vav,Hebrew,3,proper_noun
H7731,Shobach,sho.vakh,Hebrew,2,proper_noun
H8010,Solomon,she.lo.moh,Hebrew,293,proper_noun
H8037G,Shammah,sham.ma,Hebrew,1,proper_noun
H8051H,Shammua,sham.mu.a,Hebrew,2,proper_noun
H8093,Shimeah,shim.ah,Hebrew,3,proper_noun
H8096H,Shimei,shim.i,Hebrew,18,proper_noun
H8405,Thebez,te.vets,Hebrew,3,proper_noun
H8461,Tahchemonite,tach.ke.mo.ni,Hebrew,1,proper_noun
H8483,Kadesh,tach.tim chod.shi,Hebrew,2,proper_noun
H8526H,Talmai,tal.may,Hebrew,3,proper_noun
H8559H,Tamar,ta.mar,Hebrew,14,proper_noun
H8559I,Tamar,ta.mar,Hebrew,1,proper_noun
H8583,Toi,to.i to.u,Hebrew,5,proper_noun
H8621,Tekoa,te.qo.i,Hebrew,7,proper_noun
H0029H,Abijah,a.viy.yah,Hebrew,1,proper_noun
H0038,Abijam,a.viy.yam,Hebrew,5,proper_noun
H0048H,Abiram,a.vi.ram,Hebrew,1,proper_noun
H0049,Abishag,a.vi.shag,Hebrew,5,proper_noun
H0111,Hadad,a.dad,Hebrew,1,proper_noun
H0138G,Adonijah,a.do.niy.ya.hu,Hebrew,24,proper_noun
H0141,Adoniram,a.do.ni.ram,Hebrew,2,proper_noun
H0211H,Ophir,o.phir,Hebrew,11,proper_noun
H0250,Ezrahite,ez.ra.chi,Hebrew,3,proper_noun
H0274G,Ahaziah,a.chaz.ya.hu,Hebrew,7,proper_noun
H0281G,Ahijah,a.chiy.ya.hu,Hebrew,1,proper_noun
H0281H,Ahijah,a.chiy.ya.hu,Hebrew,12,proper_noun
H0281I,Ahijah,a.chiy.ya.hu,Hebrew,4,proper_noun
H0301,Ahishar,a.chi.shar,Hebrew,1,proper_noun
H0348,Jezebel,i.ze.vel,Hebrew,22,proper_noun
H0359B,Eloth,e.lot,Hebrew,4,proper_noun
H0387G,Ethan,e.tan,Hebrew,2,proper_noun
H0388,Ethanim,e.ta.nim,Hebrew,1,proper_noun
H0425H,Elah,e.lah,Hebrew,4,proper_noun
H0450H,Eliada,el.ya.da,Hebrew,1,proper_noun
H0452G,Elijah,e.liy.yah,Hebrew,68,proper_noun
H0456,Elihoreph,e.li.cho.reph,Hebrew,1,proper_noun
H0477,Elisha,e.li.sha,Hebrew,58,proper_noun
H0526G,Amon,a.mon,Hebrew,2,proper_noun
H0609G,Asa,a.sa,Hebrew,57,proper_noun
H0663I,Aphek,a.pheq,Hebrew,3,proper_noun
H0777,Arza,ar.tsa,Hebrew,1,proper_noun
H0856,Ethbaal,et.ba.al,Hebrew,1,proper_noun
H0935O,Lebo,le.vo,Hebrew,4,proper_noun
H0945,Bul,bul,Hebrew,1,proper_noun
H1017,Bethelite,bet ha.e.li,Hebrew,2,proper_noun
H1125,Ben-Abinadab,ben-a.vi.na.dav,Hebrew,2,proper_noun
H1127,Ben-Geber,ben-ge.ver,Hebrew,2,proper_noun
H1130G,Ben-hadad,ben-ha.dad,Hebrew,36,proper_noun
H1133G,Ben-hur,ben-chur,Hebrew,2,proper_noun
H1195G,Baana,ba.a.na,Hebrew,1,proper_noun
H1201,Baasha,ba.sha,Hebrew,28,proper_noun
H1405,Gibbethon,gib.be.ton,Hebrew,6,proper_noun
H1527,Ginath,gi.nat,Hebrew,2,proper_noun
H1592,Genubath,ge.nu.vat,Hebrew,2,proper_noun
H1862,Darda,dar.da,Hebrew,1,proper_noun
H1908I,Hadad,ha.dad,Hebrew,6,proper_noun
H1968G,Heman,he.man,Hebrew,2,proper_noun
H2071,Zabud,za.vud,Hebrew,1,proper_noun
H2099,Ziv,ziv,Hebrew,2,proper_noun
H2174A,Zimri,zim.ri,Hebrew,8,proper_noun
H2294,Haggith,chag.git,Hebrew,5,proper_noun
H2383,Hezion,chez.yon,Hebrew,1,proper_noun
H2419,Hiel,chi.el,Hebrew,1,proper_noun
H2438H,Hiram,chi.ram,Hebrew,7,proper_noun
H2607G,Hanani,cha.na.ni,Hebrew,5,proper_noun
H2886,Tabrimmon,tav.rim.mon,Hebrew,1,proper_noun
