"strong","strong_variant","mounce_parsed","row_type"
"G2150","","godliness, piety","lookup"
"G2412","","reverent","lookup"
"G2413","","sacred, holy, set apart for God; (plural) the holy things","description"
"G3741","","holy, pious, devout; (n.) Holy One; divine decree (Act.13:34)","description"
"G3742","","holiness","lookup"
"G3743","","- piously","lookup"
"G4151","G",": spirit","lookup"
"G4151","G","wind, breath, things which are commonly perceived as having no material substance; by extension: spirit, heart, mind, the immaterial part of the inner person that can respond to God; spirit being: (evil) spirit, ghost, God the Holy Spirit","description"
"G1679","","to hope, hope for, put hope in, expect, an attitude of confidently looking forward to what is good and beneficial","description"
"G3785","","How I wish! How I hope!","description"
"G4276","","to be the first to hope, hope beforehand","description"
"G7379","","to raise hope","lookup"
"G5012","","humility, humbleness, modesty","lookup"
"G1495","","idolatry, the reverence and worship of idols","description"
"G2712","","idolatrous","lookup"
"G1261","","thought, doubt; argument, dispute","description"
"G1271","","mind, thinking, understanding; this is a part of the inner person that thinks and processes information into understanding, including the making of choices, the seat of which is the heart","description"
"G1380","","to think, consider, regard, an action of the mind and heart for processing information into understanding and choices, sometimes with a focus on appearances. Often in the impersonal form translated, ""it seems"" (Act.17:18)","description"
"G1761","","thought, reflection; design, idea","description"
"G3053","","thought; argument, reasoning","lookup"
"G3191","","to plot, think about, meditate on; to give oneself wholly to, practice, cultivate","description"
"G3539","","to understand, see with insight, reflect","description"
"G3543","","to think, suppose, expect, consider","description"
"G7050","","to imagine","lookup"
"G0167","","impurity, a state of moral filthiness, especially in relation to sexual sin","description"
"G0168","","uncleanness","lookup"
"G0169","","unclean, evil","lookup"
"G6410","","impure","lookup"
"G0023","","to be indignant","lookup"
"G0024","","indignation","lookup"
"G4448","","to burn; to burn inwardly","description"
"G0092","","crime, unrighteous or unjust act","description"
"G0458","","wickedness, lawlessness, lawless deed","description"
"G3892","","wrongdoing, lawlessness","lookup"
"G0053","","pure (in some contexts morally pure), innocent","description"
"G0121","","innocent","lookup"
"G0172","","blameless, innocent, unsuspecting","lookup"
"G0185","","innocent, pure, not mixed with evil","description"
"G0338","","innocent","lookup"
"G1342","","right, righteous, upright; in the NT this refers to God’s proper standards and actions, expressed in the covenants; as a noun it refers to a person in accord with God’s standards, in proper relationship with God just","description"
"G2513","","clean, pure, clear of responsibility, innocent","description"
"G6177","","innocence","lookup"
"G3563","","mind, thinking; understanding, insight; ""to open the mind"" means ""to understand something""","description"
"G4920","","to understand, realize","lookup"
"G5428","","wisdom, understanding","lookup"
"G0090","","sincerity, integrity","lookup"
"G0861","","imperishableness, immortality","lookup"
"G0816","","to look intently, gaze, stare","description"
"G1227","","to see clearly; to open eyes wide","description"
"G1619","","- intently","lookup"
"G1771","","attitude, thought","lookup"
"G1963","","thought, intention","lookup"
"G3879","","to bend over; to look (intently) stoop","description"
"G5426","","to reason, think, regard, hold an opinion; to set one’s mind on; to have a (certain) attitude","description"
"G1783","","prayer, intercession","lookup"
"G5241","","to intercede","lookup"
"G3863","","to make envious, arouse jealousy","description"
"G7600","","jealousy","lookup"
"G7601","","jealousy","lookup"
"G0021","","to be filled with delight, with great joy","description"
"G2167","","joy, gladness, cheerfulness","lookup"
"G3685","","to have benefit or joy","description"
"G4796","","to rejoice with","lookup"
"G6110","","a leap for joy","description"
"G1341","","righteous judgment justice","lookup"
"G1343","","righteousness, what is right, justice, the act of doing what is in agreement with God’s standards, the state of being in proper relationship with God","description"
"G1556","","to avenge, take revenge; to grant justice, get justice","description"
"G1557","","justice; vengeance; punishment","lookup"
"G2118","","righteousness, uprightness, a figurative extension of a straight (not crooked) object, not found in the NT","description"
"G6928","","court of justice","lookup"
"G1074","","generation, one’s own kind or race, descendant; figuratively, age, period of time (as in ""to all generations"")","description"
"G1085","H",": kind","lookup"
"G1085","H","family, offspring; nation, people, native (of a region); classification or kind","description"
"G3634","","what sort of, what kind of","description"
"G4164","","of various kinds, of all kinds","description"
"G4169","","what?, which?, of what kind?","description"
"G4217","","- interrogatively, whatever, i.e. of what possible sort","description"
"G5363","","love, kindness","lookup"
"G5449","","nature; natural state of being or characteristics","description"
"G5541","","to be kind","lookup"
"G8598","","of all kinds","lookup"
"G8922","","kind","lookup"
"G0056","","ignorance, with a focus on talk or action that opposes God","description"
"G1108","","knowledge, understanding","lookup"
"G1492","I",": know/understand","lookup"
"G1492","I","to know, to possess information; recognize, realize, to come to know; to understand, to be able to use knowledge","description"
"G1922","","knowledge, understanding, insight","lookup"
"G1990","","understanding, expert, learned","lookup"
"G4924","","to live with","lookup"
"G7396","","knowledge","lookup"
"G7454","","higher knowledge","lookup"
"G0165","H",": eternity","lookup"
"G0165","H","eternity, age (time period); ""this age"" can mean the universe or even the current world system, the ""god of this age"" refers to the devil","description"
"G0744","","ancient, of old","lookup"
"G0891","","until, up to, as far as, as long as","description"
"G1597","","for a long time, long ago","description"
"G1973","","longed for","lookup"
"G2193","","up to, until","lookup"
"G2375","","(long, oblong) shield","lookup"
"G2863","","to havebe long hair -haired","description"
"G3112","","far away, distant, long way off","description"
"G3117","","lengthy, long; distant, far away","description"
"G3118","","pertaining to having a long life-lived","description"
"G3173","","great; spatially: large; of quantity or degree: loud, intense, violent; of time: long (time); of position: great, important","description"
"G3745","","how great, how much, how far; as, just as","description"
"G4119","","- more in quantity, number, or quality; also (in plural) the major portion","description"
"G4183","","- (singular) much (in any respect) or (plural) many; neuter (singular) as adverbial, largely; neuter (plural) as adverb or noun often, mostly, largely","description"
"G4219","","- interrogative adverb, at what time","description"
"G5550","","time, period of time","description"
"G7383","","longed for","lookup"
"G7808","","with long sleeves","lookup"
"G8232","","long-lived","lookup"
"G8237","","to live a long time","description"
"G8859","","to delay long","lookup"
"G8860","","long-lived","lookup"
"G0025","","to love; in the NT usually the active love of God for his Son and his people, and the active love his people are to have for God, each other, and even enemies","description"
"G0026","","love, in the NT usually the active love of God for his Son and his people, and the active love his people are to have for God, each other, and even enemies; love feast, the common meal shared by Christians in connection with church meetings","description"
"G0027","","dearly loved one; the object of special affection and of special relationship, as with Jesus the beloved of the Father","description"
"G0080","","brother, fellow countryman, neighbor (often inclusive in gender); by extension a fellow believer in the family of faith; in the plural ""brothers"" regularly refers to men and women","description"
"G1516","","peace-loving, peaceable, peaceful, with a focus of having freedom from emotional worry and frustration","description"
"G4375","","lovely, pleasing","lookup"
"G5360","","brotherly love; brotherly kindness","description"
"G5361","","loving as brothers","lookup"
"G5362","","husband-loving one’s husband","lookup"
"G5365","","love of money, avarice, greed","description"
"G5368","","to love, to have affection and regard of a very high order, not unlike G0026, and overlapping in meaning in some contexts","description"
"G5369","","loving pleasure -loving","lookup"
"G5377","","God-loving God","lookup"
"G5379","","dispute, strife","lookup"
"G5380","","contentious, quarrelsome","lookup"
"G5383","","to love to be first","description"
"G5388","","loving one’s childrenparental","lookup"
"G7493","","to love passionately","lookup"
"G2237","","pleasure, desire, enjoyment, usually with a negative sense","description"
"G3806","","lust, sexual passion","lookup"
"G0767","","ordinary, obscure, insignificant","lookup"
"G0880","","mute","lookup"
"G1498","","- might (could, would, or should) be","description"
"G3177","","to translate, give the meaning mean","description"
"G3760","","by no means","lookup"
"G5346","","to say, declare, affirm","description"
"G8240","","by all means","lookup"
"G4304","","to premeditate","lookup"
"G6139","","to meditate","lookup"
"G6140","","meditation","lookup"
"G8281","","meditation","lookup"
"G3417","","remembrance, mention","lookup"
"G3422","","memory, remembrance; memorial offering","description"
"G5280","","reminder, memory, remembrance","lookup"
"G0448","","merciless","lookup"
"G1655","","merciful, including feelings of pity, with a focus of showing compassion to those in serious need","description"
"G2433","","(middle) to make atonement for, with a focus on the means for accomplishing forgiveness, resulting in reconciliation; (passive) to have mercy on, be merciful to pardon","description"
"G2435","","atoning sacrifice; atonement cover, the place where sins are forgiven; traditionally propitiation or mercy seat","description"
"G3629","","merciful, compassionate","lookup"
"G8849","","full of mercy","lookup"
"G0363","","to remember, remind","lookup"
"G1106","","purpose, resolve; judgment; consent resolution","description"
"G1374","","double-minded","lookup"
"G2104","","of noble birth, of noble character high-born","description"
"G2473","","like, of like soul, heart or mind minded","description"
"G2588","","heart","lookup"
"G3130","","insanity, madness","lookup"
"G3328","","(middle) to change one’s mind","description"
"G3403","","to remember, recall, bring to remembrance, often with an implication that a response or action of some kind will occur","description"
"G3415","","be remembered, remember","lookup"
"G3421","","to remember; to think of","description"
"G3510","","mind","lookup"
"G3524","","sober","lookup"
"G3525","","to be self-controlled, clear-headed sober","description"
"G3540","","mind, thought, mind; scheme, design, plot","description"
"G3675","","living in harmony with, like-minded","description"
"G3912","","to be out of one’s mind, insane","description"
"G4993","","to be in a right state of mind, have sober judgment; to be self-controlled","description"
"G5279","","to remind, call to mind; (passive) to remember","description"
"G5427","","mind","lookup"
"G5590","G",": soul/heart","lookup"
"G5590","G","life, soul; heart, mind; a person; the immaterial (and eternal) part of inner person, often meaning the animate self, which can be translated by pronouns: ""my soul"" = ""I, myself""","description"
"G5591","","pertaining to the natural state: physical, unspiritual, without the Spirit","description"
"G8272","","high-minded","lookup"
"G2354","","to sing a funeral dirge, lament, mourn","description"
"G2799","","to weep, cry, wail, mourn","description"
"G2870","","mourning, sorrowing, lamentation","lookup"
"G2875","","to cut; (middle) to mourn, beat one’s breast","description"
"G3602","","deep sorrow, mourning, lamentation","description"
"G7891","","to mourn","lookup"
"G8692","","mournful","lookup"
"G3980","","to obey; to take advice","description"
"G5218","","obedience","lookup"
"G5219","","to obey, be obedient; to answer (the door)","description"
"G5255","","obedient","lookup"
"G5292","","obedience, submission","lookup"
"G5293","","to put in subjection, subject, subordinate; (passive) to submit, be subject to","description"
"G5442","G",": observe","lookup"
"G5442","G","to obey, keep; to guard, watch; to keep away from, abstain","description"
"G3804","","suffering, misfortune; passion","lookup"
"G7513","","passion","lookup"
"G0530","","once, once more, once for all; the Greek idiom ""once and yet twice"" means to do something repeatedly, ""again and again"" (Php 4:16)","description"
"G0425","","rest, relaxation, relief","lookup"
"G1514","","to live in peace, be at peace","description"
"G1515","","peace, harmony, tranquility;","lookup"
"G1517","","to make peace, to cause reconciliation between two parties, as in Christ causing the believer’s peace with God reconcile","description"
"G2263","","- tranquil","lookup"
"G2270","","to be silent, have no objection; to rest; to lead a quiet life; to give up","description"
"G4601","","to be or become silent; (passive) to be hidden, concealed","description"
"G4623","","to be quiet, remain silent; to be calm, not agitated","description"
"G5392","","to muzzle; to silence; (passive) to be quiet","description"
"G1294","","(act.) to subvert, pervert, make turn away; twist(passive) to be perverted, depraved, turned from the truth twisted","description"
"G1608","","to engage in sexual immorality","description"
"G6882","","perverseness","lookup"
"G0133","","praise, speaking of the excellence of someone or something","description"
"G0134","","to praise; in the NT, speaking of the excellence of God","description"
"G0136","","praise","lookup"
"G0437","","to give thanks, praise","description"
"G0703","","(moral) goodness, excellence, virtue","description"
"G1392","","to glorify, give praise, honor","description"
"G1867","","to praise, commend","lookup"
"G1868","","- laudation; concretely, a commendable thing","description"
"G2127","","to praise, give thanks to, speak well of, extol; (passive) to be blessed, receive blessing; in some contexts, to give a blessing is to act kindly and impart benefits to the one being blessed","description"
"G2128","","worthy of being praised, blessed, or commendedpraiseworthy","description"
"G2129","","praise","lookup"
"G3670","","to confess, acknowledge, agree, admit, declare; this can be a profession of allegiance, an admission of bad behavior, or an emphatic declaration of a truth","description"
"G5214","","to sing hymns, sing praisespraise","description"
"G5567","","to sing hymns, sing songs of praise","description"
"G6165","","praise","lookup"
"G7765","","to sing praise","lookup"
"G1162","","prayer, request, petition","lookup"
"G2171","","vow, oath; prayer","lookup"
"G4335","","prayer; place of prayer","description"
"G5187","","(passive) to be or become conceited, implying foolishness","description"
"G5243","","arrogance, pride","lookup"
"G5448","","to puff up, inflate; (passive) to be proud, arrogant","description"
"G4394","","prophecy, an inspired message, sometimes encouraging obedience to God, sometimes proclaiming the future as a warning to preparedness and continued obedience","description"
"G4395","","to prophesy, to speak an inspired message, sometimes encouraging obedience to God, sometimes proclaiming the future as a warning to preparedness and continued obedience","description"
"G4397","","prophetic, prophesy; see also G4394","description"
"G0047","","purity, in the sense of moral purity and proper sexual conduct","description"
"G0054","","purity","lookup"
"G0862","","imperishable, immortal, lasting forever","description"
"G1520","","one, single","lookup"
"G2443","","a marker that shows purpose or result: in order that, in order to, so that, then; it can focus on the introduction of a discourse or on the content itself","description"
"G2761","","without reason, in vain, to no purpose vainly","description"
"G3661","","united, in togetherness, as one","description"
"G4160","G",": do/work","lookup"
"G4160","G","to do, make, practice, produce, a generic term of action or performance","description"
"G4388","","(middle) to plan, purpose; to present, bring forth","description"
"G5056","","end, result, outcome, finish, goal; revenue, tax, duty","description"
"G5087","","(act.) to place, put; (passive) to be placed or put; (middle) to set, appoint, decide, arrange","description"
"G0158","","basis, reason or cause (for legal charges), source","description"
"G0473","","in exchange for (often as a sign of benefaction), in place of (often as a sign of contrast), instead of (often as a sign of an exchange of a relationship), one after another (often as a sign of purpose or result). Note that this preposition used in absolute does not mean to be ""against"" or ""in opposition to"" something","description"
"G0804","","safe, firm, certain; definite; the truth","description"
"G1063","","for","lookup"
"G1223","","(gen.) through, by means of; (acc.) because of, for the sake of, therefore","description"
"G1256","","to reason, discuss, discourse; to argue, dispute","description"
"G1352","","therefore, that is why, for this reason","description"
"G1500","","in vain, for nothing, to no purpose","description"
"G1752","","because of, on account of","description"
"G3049","","to credit, count, reckon; regard, think, consider","description"
"G3050","","spiritual, logical","lookup"
"G4802","","to discuss; to debate, argue","description"
"G4803","","discussion","lookup"
"G4817","","to discuss together","lookup"
"G5484","","because of this, for this reason, therefore","description"
"G0181","","disorder, rebellion, riot","lookup"
"G0485","","argument, opposition, rebellion","lookup"
"G0646","","turning away, rebellion, abandonment, apostasy","description"
"G3894","","rebellion, revolt","lookup"
"G6149","","rebellion","lookup"
"G2643","","reconciliation","lookup"
"G0096","","failing the test, rejected","description"
"G0114","","to reject, set aside","description"
"G0579","","rejected (as unclean)","lookup"
"G0580","","rejection; loss","lookup"
"G0593","","to reject","lookup"
"G0654","","to turn away from, rebel, mislead; to desert, reject; to return, put back","description"
"G0683","","to reject, repudiate, push aside","description"
"G0720","","to deny, disown, renounce, repudiate","description"
"G1544","","to take out, remove; to drive out, expel; bring out, send out","description"
"G1609","","to scorn, spit outreject","description"
"G1847","","(passive) to be rejected, treated with contempt","description"
"G1848","","to treat with contempt, look down on, ridicule; (passive) to be rejected, despised reject","description"
"G3868","","to request, beg; to make excuses; to refuse, reject ; to excuse","description"
"G6493","","rejection; returning; submission; turning","description"
"G2165","","(act.) to cause celebration, make glad; (middle/passive) to celebrate, rejoice, be glad","description"
"G7471","","to rejoice at","lookup"
"G7953","","to rejoice against","lookup"
"G8946","","to rejoice with","lookup"
"G0330","","to renew, cause to grow or bloom again","description"
"G0340","","to bring back, restore","description"
"G0341","","to renew","lookup"
"G0342","","renewal","lookup"
"G0365","","to be made new, renewed","description"
"G3824","","renewal; rebirth, regeneration","lookup"
"G7361","","to renew","lookup"
"G0278","","without regret, so, not revocable","description"
"G3338","","(middle) to regret, repent; (passive) to be repentant, changed of mind, remorseful","description"
"G3340","","to repent, to change any or all of the elements composing one’s life: attitude, thoughts, and behaviors concerning the demands of God for right living","description"
"G3341","","change of mind, repentance, the state of changing any or all of the elements composing one’s life: attitude, thoughts, and behaviors concerning the demands of God for right living; note that this state can refer to the foundational salvation event in Christ, or to on-going repentance in the Christian life","description"
"G8298","","repentance","lookup"
"G0327","","to look for, search for","description"
"G1377","","to pursue, persecute, to systematically oppress and harass a person or group, as an extended meaning of pursuing a person on foot in a chase; also from the image of the chase comes the meaning of striving and pressing on to a goal with intensity: to press on","description"
"G1567","","to seek out, seek earnestly; (passive) to be held responsible","description"
"G2021","","to attempt, try to","description"
"G2614","","to look for, search for seek","description"
"G0192","","lack of self-control","lookup"
"G0193","","without self-control","lookup"
"G1466","","self-control","lookup"
"G1467","","to have self-control (of oneself)","description"
"G1468","","disciplined, self-controlled","lookup"
"G4995","","self-discipline, with an implication that this discipline demonstrates prudence and wisdom","description"
"G4996","","in self-control","lookup"
"G4997","","propriety, appropriateness; reasonableness, mental soundness","description"
"G4998","","self-controlled, implied to be wise and prudent in nature","description"
"G0149","","disgraceful, shameful","lookup"
"G0150","","shameful-","lookup"
"G0152","","shamefulness","lookup"
"G0153","","to be ashamed, dishonored, 2Co.10.8; Php.1.20, 1Pe.4.16, 1Jn.2.28; with inf. Luk.16.3","description"
"G0524","","to lose all sensitivity, become callous","description"
"G0808","","indecent act, shame","lookup"
"G0818","","to dishonor, disgrace, treat shamefully, insult","description"
"G0819","","dishonor, disgrace, shame; common use","description"
"G1788","","to cause shame; (passive) to be ashamed; (middle) to care about, respect","description"
"G1791","","shame, humiliation","lookup"
"G2617","","to dishonor, humiliate, shame, disappoint","description"
"G3856","","to subject to public disgrace, hold up to contempt","description"
"G5195","","to insult, mistreat","lookup"
"G6396","","to cast shame","lookup"
"G0051","","sin committed in ignorance","description"
"G0264","","to sin, do wrong; usually to do any act contrary to the will and law of God","description"
"G0265","","sin, wrongdoing; usually any act contrary to the will and law of God","description"
"G0268","","(a.) sinful, as an absolute moral failure; (n.) sinner, one who violates God’s will or law; in some contexts, one who does not keep orthodox traditions and behaviors","description"
"G0361","","without sin","lookup"
"G21497","","Sin/Shin","lookup"
"G3781","","debtor, one who owes, is obligated, guilty","description"
"G3900","","trespass, transgression, sin against, to sin as a moral failure to keep a command, figuratively, stepping out of the bounds of God’s law","description"
"G4202","","sexual immorality, fornication, marital unfaithfulness, prostitution, adultery, a generic term for sexual sin of any kind","description"
"G4203","","to commit sexual immorality of any kind, adultery sin sexually","description"
"G4258","","to sin earlier, to have sinned beforehand","description"
"G7292","","to lead into sin","description"
"G0055","","- purely, i.e. honestly, with pure motives: Php.1.17.","description"
"G0097","","pure, uncontaminated or tainted","description"
"G0228","","true, genuine","lookup"
"G0858","","sincerity, simplicity","lookup"
"G1103","","true, loyal, sincere, genuine","description"
"G1505","","sincerity, the positive moral quality of purity (especially in motives), a figurative extension of an unadulterated or unmixed substance","description"
"G1506","","pure, wholesome","lookup"
"G0987","","to blaspheme, insult, slander, curse","description"
"G0988","","blasphemy, slander, malicious talk","description"
"G0989","","blasphemous, slanderous, abusive, evil, hurtful (speech); as a noun, a reviler, blasphemer","description"
"G1228","G","the devil; Satan","lookup"
"G1228","H","devilish, malicious, slanderous; like the devil who is an accuser and a liar","description"
"G1908","","to mistreat, speak maliciously against","description"
"G2635","","to speak against, slander, accuse","description"
"G2637","","slanderous, defamatory","lookup"
"G3059","","insult, slander, verbal abuse","description"
"G5396","","to gossip, talk nonsense","description"
"G3095","","magic","lookup"
"G5331","","witchcraft, magic, the use of spells and potions of magic, often involving drugs","description"
"G5333","","one who practices magical arts, magician","description"
"G4036","","overwhelmingly sorrowful; greatly distressing","description"
"G4818","","(passive) to be deeply distressed, grieved with grieve","description"
"G3163","","quarrel, conflict, fighting","lookup"
"G4645","","to harden (the heart), make obstinate, make stubborn; (passive) to be hardened, become obstinate","description"
"G3860","","to hand over, betray, deliver to prison; to entrust, commit","description"
"G3986","G",": temptation","lookup"
"G3986","G","test; trial; temptation","lookup"
"G3986","H",": testing","lookup"
"G3986","H","test; trial; temptation","lookup"
"G4625","","stumbling block, obstacle, offense; something that causes sin","description"
"G7898","","a terror","lookup"
"G7899","","to strike with terror","description"
"G3056","","word, spoken or written, often with a focus on the content of a communication; matter, thing. ""The Word"" is a title of Christ (Jn 1:1), emphasizing his own deity and communication of who God is and what he is like","description"
"G3140","","to testify, give testimony; commend, speak well of, vouch for","description"
"G3141","","testimony, evidence; (good) reputation","description"
"G3142","","testimony, proof","lookup"
"G4750","","mouth; by extension: edge (of a sword)","description"
"G5576","","to give false testimony lie","description"
"G5577","","false testimony lie","lookup"
"G0515","","to consider worthy, consider wise or fitting","description"
"G1270","","thought","lookup"
"G1760","","to think, ponder, reflect","description"
"G2233","","to govern","lookup"
"G3309","","to worry, have anxiety, be concerned","description"
"G5429","","wise, sensible, shrewd;","lookup"
"G7243","","a thought; idea","lookup"
"G7244","","inner thought","lookup"
"G3845","","to break, transgress; to leave, turn aside","description"
"G3847","","transgression, breaking, violation","lookup"
"G3848","","transgressor","lookup"
"G5233","","to wrong, transgress against, sin against","description"
"G8634","","a transgression","lookup"
"G3982","","to persuade","lookup"
"G6381","","worthy of trust","lookup"
"G0225","","truth, truthfulness; corresponding to reality","description"
"G0226","","to be truthful, tell the truth","description"
"G0227","","true, genuine, reliable, trustworthy, valid","description"
"G0230","","truly, surely","lookup"
"G0803","","security, safety; certainty, truth","description"
"G3483","","yes, indeed, a marker of strong agreement, affirmation, or emphasis","description"
"G3689","","really, certainly, surely indeed","description"
"G0050","","to be ignorant, not know, not understand","description"
"G0191","","audible","lookup"
"G0687","","- an interrogation to which a negative answer is presumed","description"
"G1065","","emphatic particle: indeed, surely","description"
"G1097","","to know, come to know, recognize, understand; to have sexual relations","description"
"G1107","","to make known, tell, reveal","description"
"G1492","G","to know, to possess information; recognize, realize, to come to know; to understand, to be able to use knowledge","description"
"G1921","","to know (fully), recognize, realize, come to understand","description"
"G1987","","to understand, know, be aware","description"
"G2638","","to obtain, attain, take hold of; seize, overtake; (middle) to grasp, understand, realize, find out","description"
"G3609","","belonging to theof one’s household, of the immediate family","description"
"G3877","","to follow, accompany; to know all about; to investigate","description"
"G5424","","(plural) thinking, understanding","lookup"
"G1775","","unity","lookup"
"G4886","","bond; sinew; captive","lookup"
"G1346","","- equitably","lookup"
"G2117","","straight","lookup"
"G3716","","to act in line with (the truth), act rightly be upright","description"
"G3717","","- right (as rising), i.e. (perpendicularly) erect (figuratively, honest), or (horizontally) level or direct","description"
"G0102","","impossible, powerless","lookup"
"G0769","G",": weak/disabled","lookup"
"G0769","G","weakness, illness, infirmity","lookup"
"G0769","H",": ill","lookup"
"G0769","H","weakness, illness, infirmity","lookup"
"G0770","G",": weak/disabled","lookup"
"G0770","G","to be weak, ill","description"
"G0770","H",": ill","lookup"
"G0770","H","to be weak, ill","description"
"G0771","","failing, weakness","lookup"
"G0772","G",": weak/disabled","lookup"
"G0772","G","weak, ill (of physical weakness or illness, also of moral or spiritual weakness)","description"
"G0772","H",": ill","lookup"
"G0772","H","weak, ill (of physical weakness or illness, also of moral or spiritual weakness)","description"
"G1133","","weak-willed woman, ""little woman""","description"
"G2577","G",": weak/disabled","lookup"
"G2577","G","to grow weary; be sick","description"
"G3886","","(passive) to be paralyzed, disabled; (n.) paralytic paralyze","description"
"G3935","","to leave undone, neglect; (passive) to be feeble, weakened, listlessrelax","description"
"G7735","","weak voiced","lookup"
"G0763","","ungodliness, godlessness, impiety (in thought and act)","description"
"G0829","","overbearing, arrogant, stubborn, self-willed","description"
"G0830","","on one’s own initiative, of one’s own accord","description"
"G2071","","- will be","lookup"
"G2308","","will, decision","lookup"
"G3801","","who was, is, and will be","description"
"G4289","","- forward in spirit, i.e. predisposed; neuter (as noun) alacrity","description"
"G4483","","- to utter, i.e. speak or say","description"
"G4909","","to approve of, give approval; to be willing agree","description"
"G7124","","be willing; volunteer, to","description"
"G4678","","wisdom (either secular or divine). Christ is called ""the wisdom of God"" in 1Co 1:24, 30. On the basis of the OT, wisdom can be personified","description"
"G4679","","to make wise; (passive) to be cleverly invented","description"
"G1569","","astonished","lookup"
"G1839","","to amaze, astound; (intr.) to be amazed, out of one’s senses","description"
"G2285","","amazement, astonishment, wonder","lookup"
"G2295","","wonder, marvel, astonishment","lookup"
"G2296","","to wonder, be (utterly) amazed marvel","description"
"G2297","","wonderful, remarkable marvelous","lookup"
"G2298","","wonderful, marvelous, remarkable marvellous","description"
"G4592","","(miraculous) sign, signal, mark","description"
"G5059","","wonder, miracle, which is by implication a sign or portent","description"
"G7643","","to cause wonder","lookup"
"G1479","","self-imposed religion","lookup"
"G2151","","to worship; to put religion into practice, show piety toward","description"
"G2356","","religion, worship","lookup"
"G2999","","worship, ministry, service (to God)","description"
"G3000","","to serve, minister (in religious duties)","description"
"G3009","","religious service, ceremony; service, ministry, help","description"
"G4352","","to worship, pay homage, show reverence; to kneel down (before)","description"
"G4353","","worshiper","lookup"
"G4573","","to worship","lookup"
"G0514","","worthy, deserving, in keeping with, corresponding to","description"
"G1308","","(tr.) to carry, spread out; (intr.) to differ; to be more valuable than","description"
"G20258","","worth two talents","lookup"
"G20833","","desire, long for","lookup"
"G0591","","give, give away; pay, pay back","description"
"G0985","","to sprout, bud","lookup"
"G1325","","to give","lookup"
"G1502","","to give in, yield","description"
"G1627","","to bring out, carry out; to produce","description"
"G2590","","fruit, crop, harvest, produce of vegetation; by extension: deed, activity, produce of a person","description"
"G7805","","to yield","lookup"
"G7806","","a yield","lookup"
"G7807","","a yield","lookup"
"G4710","","hurry, haste; earnestness, diligence, zeal, eagerness earnest","description"
"G5590","H",": life","lookup"
"G5590","H","life, soul; heart, mind; a person; the immaterial (and eternal) part of inner person, often meaning the animate self, which can be translated by pronouns: ""my soul"" = ""I, myself""","description"
"G5590","I",": myself/yourself/himself","lookup"
"G5590","I","life, soul; heart, mind; a person; the immaterial (and eternal) part of inner person, often meaning the animate self, which can be translated by pronouns: ""my soul"" = ""I, myself""","description"
"G5590","J",": person","lookup"
"G5590","J","life, soul; heart, mind; a person; the immaterial (and eternal) part of inner person, often meaning the animate self, which can be translated by pronouns: ""my soul"" = ""I, myself""","description"
"G5590","K",": animal","lookup"
"G5590","K","life, soul; heart, mind; a person; the immaterial (and eternal) part of inner person, often meaning the animate self, which can be translated by pronouns: ""my soul"" = ""I, myself""","description"
"G1457","","(passive) to be put into effect, inaugurate; (act.) to open","description"
"G1573","","to lose heart","lookup"
"G2155","","compassionate, tenderhearted","lookup"
"G2589","","heart-knower of the heart","description"
"G6657","","heavy-hearted","lookup"
"G7798","","to take heart","lookup"
"G8419","","dull of heart","lookup"
"G8485","","be faint-hearted","lookup"
"G4151","H",": breath/wind","lookup"
"G4151","H","wind, breath, things which are commonly perceived as having no material substance; by extension: spirit, heart, mind, the immaterial part of the inner person that can respond to God; spirit being: (evil) spirit, ghost, God the Holy Spirit","description"
"G4436","","spirit of divination","lookup"
"G4861","","united in spirit, harmonious","description"
"G5326","","ghost","lookup"
"G2699","","mutilation, cutting away","lookup"
"G2907","","meat","lookup"
"G4559","","material; worldly, sinful; pertaining to the flesh; see also G4561 fleshly","description"
"G4561","","flesh, body, the soft tissue of a creature, often in contrast to bone, ligament, or sinew; by extension human, humankind, with a focus on the fallen human nature, sinful nature","description"
"G7143","","to tear off flesh","description"
"G7681","","decaying flesh","lookup"
"G2174","","to be cheerful, glad","description"
"G0194","","undiluted (of wine not watered down)","description"
"G1411","","power, ability; miracle; ruler, an extended meaning of a person or supernatural being who has administrative power","description"
"G1412","","(passive) to be strengthened","description"
"G1743","","to give strength, strengthen; (middle/passive) to be strong, strengthened","description"
"G1765","","to strengthen (another); to regain (one’s own) strength","description"
"G1840","","to have power, be strong enough able","description"
"G1849","","authority, power, the right to control or govern; dominion, the area or sphere of jurisdiction; a ruler, human or supernatural","description"
"G2478","","powerful, strong, forceful","lookup"
"G2479","","strength, power","lookup"
"G2480","","to be strong, powerful, able","description"
"G2729","","to overcome, prevail; to be able","description"
"G2904","","power, strength","lookup"
"G3618","","to build, build up, rebuild, a physical edifice; by extension: to edify, strengthen, develop another person’s life through acts and words of love and encouragement","description"
"G4732","","to make strong; (passive) to become strong, be strengthened strengthen","description"
"G4991","","salvation","lookup"
"G6347","","without strength","lookup"
"G1145","","to weep, shed tears","description"
"G2805","","weeping, crying","lookup"
"G6443","","to weep","lookup"
"G8016","","a place of weeping","description"
"G7351","","contempt","lookup"
"G7352","","contempt","lookup"
"G7353","","a contemptible thing","lookup"
