"strong","strong_variant","mounce_parsed","row_type"
"G0509","","from above; from the beginning; again, anew","description"
"G1397","","slavery, bondage","lookup"
"G1398","","to serve (asbe a slave)","description"
"G1402","","to enslave, to cause one to become a slave; (passive) to become enslaved","description"
"G2615","","to make a slave, enslave","description"
"G1284","","to tear, break","lookup"
"G1288","","(passive) to be torn to piecesapart","description"
"G1358","","to break in","lookup"
"G1575","","(passive) to be broken off break","description"
"G1846","","to dig through, tear out","description"
"G2801","","broken piece, fragment","lookup"
"G2806","","to break","lookup"
"G3089","","to loose, release, untie; to break, destroy","description"
"G4917","","(passive) to be broken to pieces shatter","description"
"G4937","","to break, destroy; (passive) to be broken, bruised, dashed to pieces","description"
"G4977","","to tear, divide; (passive) to be torn, divided, split (in opinion)","description"
"G5259","G",": by","lookup"
"G5259","G","(gen.) by, by means of; (acc.); under (in space as well as in status or authority); at (a time of day)","description"
"G6485","","a broken branch","lookup"
"G0235","","but, instead, yet, except","description"
"G0994","","to call, cry out, shout","description"
"G1528","","to invite into","lookup"
"G1793","","to intercede, appeal, petition","description"
"G1941","","(active/passive) to call (upon), name, be named; (middle) appeal to, call upon for aid","description"
"G1951","","(passive) to be called; (middle) to choose call","description"
"G2028","","(passive) to be called, namedname","description"
"G2036","","to say, said, the most general term for speaking in the NT, translated contextually with more specific words such as say, tell; ask, answer","description"
"G2046","","- an alternate for G2036 in certain tenses; to utter, i.e. speak or say","description"
"G2564","G",": call/invite","lookup"
"G2564","G","to call, invite, summon. The authority of the speaker dictates the nature of the calling (friends invite; kings summon). This is also translated ""to name,"" the giving of attribution to someone or something","description"
"G2564","H",": name","lookup"
"G2564","H","to call, invite, summon. The authority of the speaker dictates the nature of the calling (friends invite; kings summon). This is also translated ""to name,"" the giving of attribution to someone or something","description"
"G2821","","call, calling; situation, station in life","description"
"G2822","","called, invited","lookup"
"G2896","","call out,to cry out, shout, exclaim","description"
"G3004","H",": call/name","lookup"
"G3004","H","- properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 and G5346 generally refer to an individual expression or speech respectively; while G4483 is properly to break silence merely, and G2980 means an extended or random harangue)); by implication, to mean","description"
"G3333","","(middle) to send for, summon, call to oneself","description"
"G3686","","name; title; reputation","lookup"
"G3687","","to give a name, designate a name; to confess; (middle) to call oneself; (passive) to be named; be known","description"
"G3870","","to ask, beg, plead; to comfort, encourage, exhort, urge; to call, invite","description"
"G4316","","to designate","lookup"
"G4341","","(middle) to call, summon, send for; gather together","description"
"G4377","","to call out; speak to, address","description"
"G4779","","(act.) to call together; (middle) to call to one’s side, summon","description"
"G5455","","to call (out), summon","description"
"G5537","","to warn; (passive) to bear a name; to be warned, told about, revealed to","description"
"G5581","","falsely called or identified","description"
"G6285","","to call by name","description"
"G7099","","to call forth","lookup"
"G7115","","to call into account","description"
"G1382","","character, test, proof","lookup"
"G2239","","- moral habits","lookup"
"G1653","","to show mercy, be merciful","description"
"G1656","","mercy, pity; the moral quality of feeling compassion and especially of showing kindness toward someone in need. This can refer to a human kindness and to God’s kindness to humankind","description"
"G2944","","to surround: gather around, march around","description"
"G3627","","to have compassion on","description"
"G3628","","compassion, mercy, pity","lookup"
"G4013","","(tr.) to take (a wife); (intr.) to; go about, travel about","description"
"G4022","","to go around","lookup"
"G4033","","to encircle, surround","lookup"
"G4184","","compassionate","lookup"
"G4697","","to have compassion on, have pity on","description"
"G4698","","inward parts of body: intestines; of emotion: ""heart, affection, tenderness, compassion""","description"
"G4834","","to sympathize with","lookup"
"G4835","","sympathetic","lookup"
"G7451","","to show compassion","lookup"
"G0176","","not condemned, what cannot be criticized","description"
"G0843","","self-condemned","lookup"
"G1349","","condemnation","lookup"
"G1935","","condemned to die","lookup"
"G2607","","to condemn, convict; (passive) to be in the wrong, condemned","description"
"G2613","","to condemn","lookup"
"G2631","","condemnation","lookup"
"G2632","","to condemn","lookup"
"G2633","","condemnation","lookup"
"G2917","","judgment, condemnation; sentence, punishment","description"
"G2919","","to decide, consider, as preferring one thing over another or determining the correctness of a matter; by extension: to judge, pass judgment on, condemn in a legal sense","description"
"G2920","","judgment (human or divine), justice, the concept of determining the correctness of a matter; negatively, punishment, condemnation","description"
"G5020","","to send to hell, hold captive in Tartarus; a derivative of the Greek noun ""Tartarus,"" a place of torture and torment lower than Hades in Greek and Jewish apocalyptic literature, not found in the NT condemn","description"
"G4893","","conscience","lookup"
"G4894","","to share knowledge with; to be conscious (of oneself) aware","description"
"G0037","","to sanctify, set apart, make holy; this can mean active dedication and service to God or the act of regarding or honoring as holy","description"
"G0040","G",": holy","lookup"
"G0040","G","holy","lookup"
"G0334","","offering-","lookup"
"G4286","","purpose","lookup"
"G5048","","to perfect, complete, finish; (passive) to reach a goal, be fulfilled, completed, made perfect","description"
"G7751","","to consecrate","lookup"
"G0073","","struggle, fight, often an athletic contest","description"
"G0714","","(middle/passive) to be content, satisfied; (act.) to be sufficient","description"
"G0841","","contentment, having all of one’s needs, sufficiency","description"
"G0842","","content; (possibly) self-sufficient","lookup"
"G2054","","quarrel, strife, dissension, discord","description"
"G2106","","to be well pleased, delight","description"
"G2213","","question for discussion, point of dispute, controversy","description"
"G3859","","constant friction contention","lookup"
"G3948","","sharp disagreement; spurring on, encouraging stirring up","description"
"G8313","","be content","lookup"
"G0853","","to destroy, disfigure; to perish, vanish, disappear","description"
"G0889","","(passive) to become worthless, depraved","description"
"G1311","","to destroy, corrupt","lookup"
"G1312","","decay","lookup"
"G1612","","(passive) to be warped, perverted","description"
"G2585","","to act as a peddler, trade in for profit peddle","description"
"G2704","","(passive) to be depraved, corrupt","description"
"G3393","","corruption, defilement","lookup"
"G3394","","corruption, pollution, defilement","lookup"
"G4550","","bad, rotten, decayed; unwholesome","description"
"G4595","","to rot, decay","lookup"
"G4646","","crooked; corrupt","lookup"
"G5349","","perishable, not lasting, mortal","description"
"G5351","","to destroy, corrupt; (passive) to be corrupted, destroyed, perish; to be led astray","description"
"G5356","","perishableness, destruction, corruption; depravity","description"
"G7946","","corruption","lookup"
"G1011","","to make plans, consider, decide, plot plan","description"
"G1012","","plan, purpose, will, decision","description"
"G4823","","to advise, counsel; (middle) to plot, conspire, consult","description"
"G4824","","plan, plot; decision; council","description"
"G0407","","to act courageously","lookup"
