id,strong,related_strong,related_form,related_transliteration,related_gloss,deleted
49061,G0056,G0057,ἄγνωστος,agnōstos,unknown,0
49062,G0056,G0314,ἀναγινώσκω,anaginōskō,to read,0
49063,G0056,G0319,ἀναγνωρίζω,anagnōrizō,to recognize,0
49064,G0056,G1097,γινώσκω,ginōskō,to know,0
49065,G0056,G1106,γνώμη,gnōmē,resolution,0
49066,G0056,G1107,γνωρίζω,gnōrizō,to make known,0
49067,G0056,G1108,γνῶσις,gnōsis,knowledge,0
49068,G0056,G1109,γνώστης,gnōstēs,expert in,0
49069,G0056,G1110,"γνωστός, γνώριμος",gnōstos gnōrimos,acquainted with,0
49070,G0056,G1231,διαγινώσκω,diaginōskō,to decide,0
49071,G0056,G1232,διαγνωρίζω,diagnōrizō,to report,0
49072,G0056,G1492H,εἴδω,eidō,to perceive: see,0
49073,G0056,G1492I,εἴδω,eidō,to perceive: know,0
49074,G0056,G1921,ἐπιγινώσκω,epiginōskō,to come to know,0
49075,G0056,G1922,ἐπίγνωσις,epignōsis,knowledge,0
49076,G0056,G2589,καρδιογνώστης,kardiognōstēs,heart-knower,0
49077,G0056,G4267,προγινώσκω,proginōskō,to know/choose,0
49078,G0056,G4268,πρόγνωσις,prognōsis,foreknowledge,0
49079,G0056,G4275,προεῖδον,proeidon,to foresee,0
49080,G0056,G4774,συγγνώμη,sungnōmē,concession,0
49081,G0056,G4894,συνείδω,suneidō,be aware,0
49082,G0060,G0058,ἀγορά,agora,marketplace,0
49083,G0069,G0070,ἀγρυπνία,agrupnia,sleeplessness,0
49084,G0069,G5258,ὕπνος,hupnos,sleep,0
49085,G0073,G0074,ἀγωνία,agōnia,a struggle,0
49086,G0073,G0075,ἀγωνίζομαι,agōnizomai,to struggle,0
49087,G0073,G0464,ἀνταγωνίζομαι,antagōnizomai,to struggle,0
49088,G0073,G1864,ἐπαγωνίζομαι,epagōnizomai,to contend,0
49089,G0073,G2610,καταγωνίζομαι,katagōnizomai,to conquer,0
49090,G0073,G4865,συναγωνίζομαι,sunagōnizomai,to struggle,0
49091,G0074,G0073,ἀγών,agōn,fight,0
49092,G0074,G0075,ἀγωνίζομαι,agōnizomai,to struggle,0
49093,G0074,G0464,ἀνταγωνίζομαι,antagōnizomai,to struggle,0
49094,G0074,G1864,ἐπαγωνίζομαι,epagōnizomai,to contend,0
49095,G0074,G2610,καταγωνίζομαι,katagōnizomai,to conquer,0
49096,G0074,G4865,συναγωνίζομαι,sunagōnizomai,to struggle,0
49097,G0080,G0079,ἀδελφή,adelfē,sister,0
49098,G0080,G0081,ἀδελφότης,adelfotēs,brotherhood,0
49099,G0080,G5569,ψευδάδελφος,pseudadelfos,false brother,0
49100,G0085,,,,,0
49101,G0090,G1223,διά,dia,through/because of,0
49102,G0090,G1311,διαφθείρω,diaftheirō,to destroy,0
49103,G0090,G5356,φθορά,fthora,corruption,0
49104,G0090,G7843,καταθύμιος,katathumios,wishes,0
49105,G0092,G0091,ἀδικέω,adikeō,to harm,0
49106,G0092,G0093,ἀδικία,adikia,unrighteousness,0
49107,G0092,G0094,ἄδικος,adikos,unjust,0
49108,G0092,G0095,ἀδίκως,adikōs,unjustly,0
49109,G0092,G0476,ἀντίδικος,antidikos,opponent,0
49110,G0092,G1341,δικαιοκρισία,dikaiokrisia,justice,0
49111,G0092,G1342,δίκαιος,dikaios,just,0
49112,G0092,G1343,δικαιοσύνη,dikaiosunē,righteousness,0
49113,G0092,G1344,δικαιόω,dikaioō,to justify,0
49114,G0092,G1345,δικαίωμα,dikaiōma,righteous act,0
49115,G0092,G1346,δικαίως,dikaiōs,rightly,0
49116,G0092,G1347,δικαίωσις,dikaiōsis,justification,0
49117,G0092,G1348,δικαστής,dikastēs,magistrate,0
49118,G0092,G1349,δίκη,dikē,condemnation,0
49119,G0092,G1738,ἔνδικος,endikos,just,0
49120,G0092,G2613,καταδικάζω,katadikazō,to condemn,0
49121,G0092,G5267,ὑπόδικος,hupodikos,accountable,0
49122,G0093,G0091,ἀδικέω,adikeō,to harm,0
49123,G0093,G0092,ἀδίκημα,adikēma,crime,0
49124,G0093,G0094,ἄδικος,adikos,unjust,0
49125,G0093,G0095,ἀδίκως,adikōs,unjustly,0
49126,G0093,G0476,ἀντίδικος,antidikos,opponent,0
49127,G0093,G1341,δικαιοκρισία,dikaiokrisia,justice,0
49128,G0093,G1342,δίκαιος,dikaios,just,0
49129,G0093,G1343,δικαιοσύνη,dikaiosunē,righteousness,0
49130,G0093,G1344,δικαιόω,dikaioō,to justify,0
49131,G0093,G1345,δικαίωμα,dikaiōma,righteous act,0
49132,G0093,G1346,δικαίως,dikaiōs,rightly,0
49133,G0093,G1347,δικαίωσις,dikaiōsis,justification,0
49134,G0093,G1348,δικαστής,dikastēs,magistrate,0
49135,G0093,G1349,δίκη,dikē,condemnation,0
49136,G0093,G1738,ἔνδικος,endikos,just,0
49137,G0093,G2613,καταδικάζω,katadikazō,to condemn,0
49138,G0093,G5267,ὑπόδικος,hupodikos,accountable,0
49139,G0094,G0091,ἀδικέω,adikeō,to harm,0
49140,G0094,G0092,ἀδίκημα,adikēma,crime,0
49141,G0094,G0093,ἀδικία,adikia,unrighteousness,0
49142,G0094,G0095,ἀδίκως,adikōs,unjustly,0
49143,G0094,G0476,ἀντίδικος,antidikos,opponent,0
49144,G0094,G1341,δικαιοκρισία,dikaiokrisia,justice,0
49145,G0094,G1342,δίκαιος,dikaios,just,0
49146,G0094,G1343,δικαιοσύνη,dikaiosunē,righteousness,0
49147,G0094,G1344,δικαιόω,dikaioō,to justify,0
49148,G0094,G1345,δικαίωμα,dikaiōma,righteous act,0
49149,G0094,G1346,δικαίως,dikaiōs,rightly,0
49150,G0094,G1347,δικαίωσις,dikaiōsis,justification,0
49151,G0094,G1348,δικαστής,dikastēs,magistrate,0
49152,G0094,G1349,δίκη,dikē,condemnation,0
49153,G0094,G1738,ἔνδικος,endikos,just,0
49154,G0094,G2613,καταδικάζω,katadikazō,to condemn,0
49155,G0094,G5267,ὑπόδικος,hupodikos,accountable,0
49156,G0096,G1384,δόκιμος,dokimos,tested,0
49157,G0097,G1386,δόλιος,dolios,deceitful,0
49158,G0097,G1387,δολιόω,dolioō,to deceive,0
49159,G0097,G1388,δόλος,dolos,deceit,0
49160,G0101,G0102,ἀδύνατος,adunatos,unable,0
49161,G0101,G1410,δύναμαι,dunamai,be able,0
49162,G0101,G1411,δύναμις,dunamis,power,0
49163,G0101,G1412,δυναμόω,dunamoō,to empower,0
49164,G0101,G1413,δυνάστης,dunastēs,ruler,0
49165,G0101,G1414,δυνατέω,dunateō,be able,0
49166,G0101,G1415,δυνατός,dunatos,able,0
49167,G0101,G1743,ἐνδυναμόω,endunamoō,to strengthen,0
49168,G0101,G2616,καταδυναστεύω,katadunasteuō,to oppress,0
49169,G0102,G0101,ἀδυνατέω,adunateō,be impossible,0
49170,G0102,G1410,δύναμαι,dunamai,be able,0
49171,G0102,G1411,δύναμις,dunamis,power,0
49172,G0102,G1412,δυναμόω,dunamoō,to empower,0
49173,G0102,G1413,δυνάστης,dunastēs,ruler,0
49174,G0102,G1414,δυνατέω,dunateō,be able,0
