id,strong,mounce_parsed,row_type,deleted
406328,G4912,"to cover (ears); to crowd (against); to guard, hold in custody; to compel, urge on; (passive) to suffer, be distressed; to be devoted to",description,0
406329,G8214,distressing,lookup,0
406330,G0139,"sect (religious party), faction, heresy",description,0
406331,G0141,divisive,lookup,0
406332,G0592,"to divide, separate, cause a division",description,0
406333,G1267,division,lookup,0
406334,G1370,"division, dissension",lookup,0
406335,G2183,"(priestly) division, group, class",description,0
406336,G3311,"dividing, separation; distribution, apportionment division",description,0
406337,G4978,"tear, split, divide an object into parts, with an implication that the object is now damaged; by extension: division, dissension, implying discord and damage to the unity of the original group",description,0
406338,G5010,"order, succession; kind, nature",description,0
406339,G5015,to trouble,lookup,0
406340,G0420,"not resentful, patient",lookup,0
406341,G0430,"to put up with, endure",description,0
406342,G0941,"to carry, bear up, carry off; to tolerate, help, support",description,0
406343,G1526,- they are,lookup,0
406344,G2553,"to suffer trouble, endure hardship",description,0
406345,G2594,"to persevere, endure",lookup,0
406346,G3114,"to have patience; to be patient; to exhibit internal and external control in a difficult circumstance, which control could exhibit itself by delaying an action",description,0
406347,G3115,"patience, forbearance, internal and external control in a difficult circumstance, which control could exhibit itself by delaying an action",description,0
406348,G3306,"to stay, remain, live, dwell, abide; to be in a state that begins and continues, yet may or may not end or stop. ""To abide in Christ"" is to follow his example of a life obedient to the will of God",description,0
406349,G3958,"to experience, suffer, endure (almost always in NT with reference to unpleasant experiences)",description,0
406350,G3984,"to try to do, attempt; to face, experience",description,0
406351,G4722,"to put up with, stand, endure; to protect, cover",description,0
406352,G4778,(passive) to be mistreated with mistreat,description,0
406353,G5159,to put up with,description,0
406354,G5278,"to stay behind; to stand firm, endure, persevere",description,0
406355,G5281,"perseverance, endurance, patience",lookup,0
406356,G5297,"to endure, bear up under, stand up under",description,0
406357,G5342,"to bring, bear, carry; lead",description,0
406358,G2205,"zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concern; jealousy, envy, rage, morally corrupt zealous ill will",description,0
406359,G3788,"eye, the organ of sight; by extension: the faculty of mental perception and understanding",description,0
406360,G5354,to envy,lookup,0
406361,G5355,envy,lookup,0
406362,G6041,"to envy, be jealousto be full of zeal, zealous",description,0
406363,G0093,"wickedness, evil, wrongdoing",lookup,0
406364,G0824,"wrong, wicked; unusual, surprising",description,0
406365,G1426,"bad report, slander",lookup,0
406366,G2551,"to curse, malign, speak evil of",description,0
406367,G2554,"to do evil, do what is wrong",description,0
406368,G2555,wrongdoing,lookup,0
406369,G2556G,: evil,lookup,0
406370,G2556G,"evil, wicked, wrong, bad, a perversion of what pertains to goodness; as a noun, an evil thing can refer to any crime, harm, or moral wrong",description,0
406371,G2556H,: evil,lookup,0
406372,G2556H,"evil, wicked, wrong, bad, a perversion of what pertains to goodness; as a noun, an evil thing can refer to any crime, harm, or moral wrong",description,0
406373,G2557,"criminal, evildoer",lookup,0
406374,G2559,"to harm, mistreat, oppress, persecute; poison, embitter",description,0
406375,G2560,- badly (physically or morally),description,0
406376,G2636,"slander, defamation, evil speech",description,0
406377,G4190,"bad, the negative quality of an object; evil, wicked, crime, the negative moral quality of a person or action opposed to God and his goodness; (n.) wicked deed, wicked thing; the Evil One, a title of Satan",description,0
406378,G4191,- more evil,lookup,0
406379,G5337,"evil, bad",lookup,0
406380,G7771,an evil deed,lookup,0
406381,G7772,evil actions,lookup,0
406382,G7773,evil thinking,lookup,0
406383,G7774,evil-minded,lookup,0
406384,G2334,"to see, look at, watch closely; perceive, experience",description,0
406385,G0569,"to disbelieve, be faithless, unfaithful. In some contexts unbelief has no implication of faithlessness or hardheartedness (Lk 24:11); in other contexts unbelief is a moral failure, not acting like a true follower (2Ti 2:13)",description,0
406386,G0570,"unbelief, lack of faith (often with the implication of stubbornly refusing to believe or act in accord with God’s will or law)",description,0
406387,G1680,"hope, expectation",lookup,0
406388,G3640,"of little faith, faithless",description,0
406389,G4100,"to believe, put one’s faith in, trust, with an implication that actions based on that trust may follow; (passive) entrust",description,0
406390,G4102G,: faith,lookup,0
406391,G4102G,"faith, faithfulness, belief, trust, with an implication that actions based on that trust may follow; ""the faith"" often refers to the Christian system of belief and lifestyle",description,0
406392,G4102H,: faith,lookup,0
406393,G4102H,"faith, faithfulness, belief, trust, with an implication that actions based on that trust may follow; ""the faith"" often refers to the Christian system of belief and lifestyle",description,0
406394,G4103,"faithful, trustworthy, reliable, believing",description,0
406395,G6066,littleness of faith,lookup,0
406396,G0870,"fearlessly, without the slightest qualm, boldly",description,0
406397,G1167,"timidity, cowardice",lookup,0
406398,G1168,"to be afraid, cowardly, timid",description,0
406399,G1630,"frightened, terrified",lookup,0
406400,G1719,"afraid, terrified",lookup,0
406401,G1790,trembling,lookup,0
406402,G2125,"to have holy fear, reverence revere",description,0
406403,G2126,"devout, godly, God-fearing",lookup,0
406404,G2316,"God, usually refers to the one true God; in a very few contexts it refers to a (pagan) god or goddess. The ""Son of God"" as a title of Jesus emphasizes his unique relationship to the Father. ""The god of this age"" refers to the devil",description,0
406405,G2318,"godly, God-fearing, devout",lookup,0
406406,G4423,something alarming fear,lookup,0
406407,G4576,"(middle) to worship, be devout, God-fearing",description,0
406408,G5156,"trembling, fear",lookup,0
406409,G5398,"fearful, dreadful, terrible",lookup,0
406410,G5399,"to fear, be afraid, alarmed, in some contexts improper and an impediment to faith and love; to reverence, respect, worship, in other contexts a proper fear for God, a deep reverence and awe",description,0
406411,G5400,fearful eventthing,lookup,0
406412,G6015,"fear, reverence, awe",lookup,0
406413,G7949,fear,lookup,0
406414,G2842,"fellowship, the close association between persons, emphasizing what is common between them; by extension: participation, sharing, contribution, gift, the outcome of such close relationships",description,0
406415,G2844,"partner, participant, one who joins in with another in some enterprise or activity, in business or ministry",description,0
406416,G3352,"something in common, sharing, participation",description,0
406417,G4790,"to share with, be connected with",description,0
406418,G0453,"foolish, senseless",lookup,0
406419,G0454,"folly, senselessness; fury",lookup,0
406420,G0801,"senseless, dull, without understanding, foolish",description,0
406421,G0877,"foolishness, lack of sense",description,0
406422,G0878,"foolish, ignorant",lookup,0
406423,G2756,- empty (literally or figuratively),description,0
406424,G3471,"(act.) to make foolish, show one foolish; (pass.) to become a fool, be made a fool; (passive) to become saltless, tasteless, inert insipid",description,0
406425,G3472,foolishness,lookup,0
406426,G3473,foolish talkboorishness,lookup,0
406427,G3474,foolish,lookup,0
406428,G0630G,: release,lookup,0
406429,G0630G,"to release (forgive, grant clemency); divorce, send away",description,0
406430,G0859,"forgiveness, pardon, release, cancellation of a debt",description,0
406431,G0863G,: leave/abandon,lookup,0
406432,G0863G,"to forgive, pardon, remit, cancel; to leave, abandon; to allow, permit, tolerate",description,0
406433,G0863H,: forgive,lookup,0
406434,G0863H,"to forgive, pardon, remit, cancel; to leave, abandon; to allow, permit, tolerate",description,0
406435,G0863I,: permit/release,lookup,0
406436,G0863I,"to forgive, pardon, remit, cancel; to leave, abandon; to allow, permit, tolerate",description,0
406437,G2436,"forgiving, gracious; (may God be) gracious!, God forbid!",description,0
406438,G5483,"to give grace; to forgive, cancel (a debt); to grant; to hand over into custody",description,0
406439,G0018,one who does good,description,0
406440,G0572,"Formally ""the quality of singleness,"" translated ""generosity,"" the state of giving things in a manner that shows liberality; ""sincerity,"" the moral quality of honesty expressing singleness of purpose or motivation",description,0
406441,G1932,"gentleness, with an implication of tolerance and graciousness",description,0
406442,G1933,"gentle, considerate",lookup,0
406443,G2261,"gentle, kind",lookup,0
406444,G3356,to deal gentlybe gentle,description,0
406445,G4235,gentle,lookup,0
406446,G4236,gentleness,lookup,0
406447,G4239,"gentle, meek, the positive moral quality of dealing with people in a kind manner, with humility and consideration",description,0
406448,G4240,"gentleness, meekness, humility",lookup,0
406449,G5544,"kindness, goodness",lookup,0
406450,G6073,"gentleness, meekness",lookup,0
406451,G8878,gentle-minded,lookup,0
406452,G0014,to do good,lookup,0
406453,G0015,"to do good, to do right",description,0
406454,G0016,doing good,lookup,0
406455,G0017,"one who does good, right",description,0
406456,G0019,goodness,lookup,0
406457,G0865,not loving good,lookup,0
406458,G0979,"(everyday) life; what one lives on, property, possessions",description,0
406459,G2097,"to preach (bring) the good news (gospel), often with a focus on the content of the message which is brought. In the NT it always refers to the death, burial, resurrection, and witness about Jesus Christ, including its implications for humankind’s relationship to God",description,0
406460,G2108,"act of kindness, good deed",description,0
406461,G2109,to do good to,description,0
406462,G2140,doing good,lookup,0
406463,G2162,good report,lookup,0
406464,G2566,"good, right; beautiful, fine, excellent",description,0
406465,G2567,teaching what is good,description,0
406466,G2569,to do what is right or good,description,0
406467,G2570G,"- properly, beautiful, but chiefly (figuratively) good (literally or morally)i.e. valuable or virtuous",description,0
406468,G2570H,"Fair Havens, a port on Crete",description,0
406469,G3776,"wealth; estate, property",lookup,0
406470,G4147,to be rich; (pf.) to have acquired wealth,description,0
406471,G4283,to announcepreach the gospel in advance,description,0
406472,G4469,Raca (a term of abuse),description,0
406473,G4632,"possession, merchandise, object, thing; jar, vessel, dish; a general term that can refer to a human being",description,0
406474,G5223,"property, goods, possessions",lookup,0
