registry_word,strongNumber,language,stepTransliteration,stepGloss,cluster_code,cluster_name
anger,H7107,Hebrew,qa.tsaph,be angry,M02,Anger
anger,H7110A,Hebrew,qe.tseph,wrath,M02,Anger
anger,H7110B,Hebrew,qe.tseph,splinter,,
anger,H7265,Hebrew,re.gaz,to enrage,M02,Anger
anger,H7267,Hebrew,ro.gez,turmoil,,
anger,H7307J,Hebrew,ru.ach,spirit: temper,,
anger,H8474,Hebrew,ta.cha.rah,to contend,M44,Relational
anguish,G0074,Greek,agōnia,a struggle,M34,Perseverance
anguish,G0928H,Greek,basanizō,to torture: anguish,M03,Grief
anguish,G2347,Greek,thlipsis,pressure,M01,Fear
anguish,G2347,Greek,thlipsis,pressure,M24,Weakness
anguish,G3600,Greek,odunaō,be anguished,M03,Grief
anguish,G3601,Greek,odunē,anguish,M03,Grief
anguish,G4192,Greek,ponos,travail,M03,Grief
anguish,G4730,Greek,stenochōria,hardship,M01,Fear
anguish,G4730,Greek,stenochōria,hardship,M24,Weakness
anguish,G4928,Greek,sunochē,anguish,M03,Grief
anguish,H2256B,Hebrew,che.vel,pain,M03,Grief
anguish,H2342A,Hebrew,chul,to twist: tremble,,
anguish,H2342B,Hebrew,chil,be firm,,
anguish,H2342H,Hebrew,chul,to twist: give birth,,
anguish,H2342I,Hebrew,chul,to twist: writh in pain,M03,Grief
anguish,H2342J,Hebrew,chul,to twist: dance,,
anguish,H2342K,Hebrew,chul,to twist: anticipate,,
anguish,H2427A,Hebrew,chil,agony,M03,Grief
anguish,H2479,Hebrew,chal.cha.lah,anguish,,
anguish,H3015,Hebrew,ya.gon,sorrow,M03,Grief
anguish,H4164,Hebrew,mu.tsaq,constraint,M01,Fear
anguish,H4164,Hebrew,mu.tsaq,constraint,M24,Weakness
anguish,H4689,Hebrew,ma.tsoq,distress,M03,Grief
anguish,H4691,Hebrew,me.tsu.qah,distress,M03,Grief
anguish,H4712,Hebrew,me.tsar,terror,M01,Fear
anguish,H4712,Hebrew,me.tsar,terror,M24,Weakness
anguish,H4751,Hebrew,mar,bitter,M03,Grief
anguish,H4751,Hebrew,mar,bitter,T2,Supplementary
anguish,H5100,Hebrew,ne.ha.mah,groaning,,
anguish,H5892A,Hebrew,ir,excitement,,
anguish,H5999,Hebrew,a.mal,trouble,M03,Grief
anguish,H6088,Hebrew,a.tsav,to pain,M03,Grief
anguish,H6695B,Hebrew,tsu.qah,anguish,M03,Grief
anguish,H6735C,Hebrew,tsir,pang,,
anguish,H6862B,Hebrew,tsar,distress,M03,Grief
anguish,H6862C,Hebrew,tsar,enemy,M44,Relational
anguish,H6869B,Hebrew,tsa.rah,distress,M03,Grief
anguish,H7089,Hebrew,qe.pha.dah,anguish,M03,Grief
anguish,H7115,Hebrew,qo.tser,shortness,T2,Supplementary
anguish,H7451C,Hebrew,ra.ah,distress: harm,M03,Grief
anguish,H7661,Hebrew,sha.vats,agony,M01,Fear
anointing,G0218,Greek,aleifō,to anoint,T2,Supplementary
anointing,G1472,Greek,enchriō,to rub on,M12,Purity
anointing,G2025,Greek,epichriō,to rub on,M12,Purity
anointing,G3462,Greek,murizō,to anoint,T2,Supplementary
anointing,G5545,Greek,chrisma,anointing,T2,Supplementary
anointing,G5547,Greek,christos,Christ,T2,Supplementary
anointing,G5548,Greek,chriō,to anoint,T2,Supplementary
anointing,G6221,Greek,aleimma,an anointing,,
anointing,G8202,Greek,lipainō,to anoint,,
anointing,H1101A,Hebrew,ba.lal,to mix,T2,Supplementary
anointing,H1878,Hebrew,da.shen,to prosper,M46,Abundance
anointing,H3251,Hebrew,ya.sakh,to pour,T2,Supplementary
anointing,H3332G,Hebrew,ya.tsaq,to pour: pour,T2,Supplementary
anointing,H4473,Hebrew,mim.shach,expanded,T2,Supplementary
anointing,H4886,Hebrew,ma.shach,to anoint,T2,Supplementary
anointing,H4887,Hebrew,me.shach,oil,T2,Supplementary
anointing,H4888A,Hebrew,mish.chah,anointing,T2,Supplementary
anointing,H4888B,Hebrew,ma.she.chah,consecrated portion,T2,Supplementary
anointing,H4899,Hebrew,ma.shi.ach,anointed,T2,Supplementary
anointing,H5480,Hebrew,sukh,to anoint,T2,Supplementary
anointing,H8081,Hebrew,she.men,oil,T2,Supplementary
anxiety,G0253,Greek,alupos,without anxiety,M33,Peace
anxiety,G0275,Greek,amerimnos,untroubled,M18,Hope
anxiety,G3308,Greek,merimna,concern,M20,Doubt
anxiety,G4305,Greek,promerimnaō,to worry beforehand,T2,Supplementary
anxiety,G4329,Greek,prosdokia,expectation,M18,Hope
anxiety,H1672,Hebrew,da.ag,be anxious,M20,Doubt
anxiety,H1674,Hebrew,de.a.gah,anxiety,M01,Fear
anxiety,H1804,Hebrew,da.lach,to trouble,,
anxiety,H5916,Hebrew,a.khar,to trouble,,
anxiety,H6470,Hebrew,pa.am,to trouble,,
anxiety,H7599,Hebrew,sha.an,to rest,M33,Peace
anxiety,H8312,Hebrew,sar.ap.pim,anxiety,M01,Fear
appetite,G0776,Greek,asitia,fasting,,
appetite,G2836,Greek,koilia,belly/womb/stomach,,
appetite,G3042,Greek,limos,hunger,,
appetite,G3983,Greek,peinaō,to hunger,,
appetite,H0398,Hebrew,a.khal,to eat,,
appetite,H2421,Hebrew,cha.yah,to live,M25,Life
appetite,H5315L,Hebrew,ne.phesh,soul: appetite,M47,Constitution
appetite,H7457,Hebrew,ra.ev,hungry,,
appetite,H8264,Hebrew,sha.qaq,to rush,T2,Supplementary
authority,G0746,Greek,archē,beginning,M17,Counsel
authority,G0747,Greek,archēgos,founder,FLAG,Flag
authority,G0747,Greek,archēgos,founder,T2,Supplementary
authority,G0758,Greek,archōn,ruler,T2,Supplementary
authority,G0831,Greek,authenteō,to domineer,M23,Strength
authority,G0922,Greek,baros,burden,,
authority,G1291,Greek,diastellō,to give orders,T2,Supplementary
authority,G1299,Greek,diatassō,to direct,M09,Humility
authority,G1413,Greek,dunastēs,ruler,T2,Supplementary
authority,G1415,Greek,dunatos,able,M23,Strength
authority,G1415,Greek,dunatos,able,T2,Supplementary
authority,G1849,Greek,exousia,authority,M23,Strength
authority,G1850,Greek,exousiazō,to have authority,M23,Strength
authority,G2003,Greek,epitagē,command,T2,Supplementary
authority,G2715,Greek,katexousiazō,to rule,M23,Strength
authority,G2963,Greek,kuriotēs,lordship,M23,Strength
authority,G4173,Greek,politarchēs,city authority,T2,Supplementary
authority,G5242,Greek,huperechō,be higher,M23,Strength
authority,G5247,Greek,huperochē,authority,M23,Strength
authority,G6094,Greek,aucheō,to boast,,
authority,H1935,Hebrew,hod,splendor,M22,Praise
authority,H2632,Hebrew,che.sen,authority,M23,Strength
authority,H2632,Hebrew,che.sen,authority,T2,Supplementary
authority,H3027H,Hebrew,yad,hand: power,T2,Supplementary
authority,H3027W,Hebrew,yad,hand: owner,M23,Strength
authority,H3027W,Hebrew,yad,hand: owner,T2,Supplementary
authority,H3678I,Hebrew,kis.se,throne: seat,T2,Supplementary
authority,H4474,Hebrew,mim.shal,dominion,M23,Strength
authority,H4475,Hebrew,mem.sha.lah,dominion,M23,Strength
authority,H4910,Hebrew,ma.shal,to rule,M23,Strength
authority,H4915B,Hebrew,mo.shel,dominion,M23,Strength
authority,H6485J,Hebrew,pa.qad,to reckon: overseer,T2,Supplementary
authority,H7235A,Hebrew,ra.vah,to multiply,M23,Strength
authority,H7287A,Hebrew,ra.dah,to rule,M23,Strength
authority,H7558,Hebrew,rish.yon,permission,T2,Supplementary
authority,H7980,Hebrew,sha.lat,to domineer,M23,Strength
authority,H7981,Hebrew,she.let,to rule,M23,Strength
authority,H7983,Hebrew,shil.ton,power,M23,Strength
authority,H7985,Hebrew,shol.tan,dominion,M23,Strength
authority,H7989,Hebrew,shal.lit,domineering,M08,Pride
authority,H7989,Hebrew,shal.lit,domineering,M23,Strength
authority,H7990,Hebrew,shal.lit,ruling,M23,Strength
authority,H8633,Hebrew,to.qeph,power,M23,Strength
awe,G1169,Greek,deilos,timid,M01,Fear
awe,G1568,Greek,ekthambeō,be awe-struck,M01,Fear
awe,G2124,Greek,eulabeia,reverence,M21,Prayer
awe,G2284,Greek,thambeō,to astonish,M04,Joy
awe,G2317,Greek,theosebeia,reverence for God,M21,Prayer
awe,G5401,Greek,fobos,fear,M01,Fear
awe,G6156,Greek,aideomai,to stand in awe,,
awe,G6786,Greek,deidō,be in awe,,
awe,G6791,Greek,deinos,awful,,
awe,G7904,Greek,kataptēssō,to awe,,
awe,H1481C,Hebrew,gur,to dread,M01,Fear
awe,H1945,Hebrew,hoy,woe!,,
awe,H2865,Hebrew,cha.tat,to to be dismayed,M01,Fear
awe,H3372G,Hebrew,ya.re,to fear,M01,Fear
awe,H3372H,Hebrew,ya.re,to fear: revere,M01,Fear
awe,H6206,Hebrew,a.rats,to tremble,M01,Fear
awe,H6342,Hebrew,pa.chad,to dread,M01,Fear
awe,H6343,Hebrew,pa.chad,dread,M01,Fear
awe,H7264,Hebrew,ra.gaz,to tremble,M01,Fear
being,G0023,Greek,aganakteō,be indignant,,
being,G0050,Greek,agnoeō,be ignorant,M15,Wisdom
being,G0069,Greek,agrupneō,be watchful,,
being,G0085,Greek,adēmoneō,be distressed,M01,Fear
being,G0101,Greek,adunateō,be impossible,,
being,G0120,Greek,athumeō,be discouraged,M20,Doubt
being,G0153,Greek,aischunō,be ashamed,M07,Shame
being,G0198,Greek,akriboō,be exactly,,
