id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted
18236,Rom,567,4,15,4,15,Rom 4:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18237,Rom,8033,4,16,4,16,Rom 4:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18238,Rom,9010,4,17,4,18,Rom 4:17-18,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18239,Rom,22675,4,19,4,20,Rom 4:19-20,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18240,Rom,24345,4,22,4,22,Rom 4:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18241,Rom,8035,4,24,4,24,Rom 4:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18242,Rom,26587,4,25,4,25,Rom 4:25,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18243,Rom,1774,5,1,5,2,Rom 5:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18244,Rom,1224,5,3,5,5,Rom 5:3-5,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18245,Rom,1775,5,6,5,6,Rom 5:6,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18246,Rom,4559,5,7,5,7,Rom 5:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18247,Rom,1776,5,8,5,8,Rom 5:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18248,Rom,568,5,9,5,10,Rom 5:9-10,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18249,Rom,1777,5,11,5,11,Rom 5:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18250,Rom,23626,5,12,5,13,Rom 5:12-13,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18251,Rom,8036,5,14,5,14,Rom 5:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18252,Rom,1778,5,15,5,18,Rom 5:15-18,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18253,Rom,20129,5,19,5,19,Rom 5:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18254,Rom,23542,5,20,5,21,Rom 5:20-21,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18255,Rom,23543,6,1,6,2,Rom 6:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18256,Rom,1782,6,4,6,4,Rom 6:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18257,Rom,8037,6,5,6,5,Rom 6:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18258,Rom,6072,6,6,6,7,Rom 6:6-7,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18259,Rom,1783,6,8,6,8,Rom 6:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18260,Rom,1784,6,9,6,9,Rom 6:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18261,Rom,22909,6,10,6,15,Rom 6:10-15,6,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18262,Rom,23630,6,16,6,20,Rom 6:16-20,5,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18263,Rom,26376,6,21,6,21,Rom 6:21,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18264,Rom,6085,6,22,6,23,Rom 6:22-23,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18265,Rom,25063,7,1,7,1,Rom 7:1,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18266,Rom,1787,7,4,7,4,Rom 7:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18267,Rom,23632,7,5,7,5,Rom 7:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18268,Rom,6073,7,6,7,6,Rom 7:6,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18269,Rom,4368,7,7,7,9,Rom 7:7-9,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18270,Rom,23634,7,11,7,11,Rom 7:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18271,Rom,15134,7,12,7,14,Rom 7:12-14,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18272,Rom,8042,7,15,7,16,Rom 7:15-16,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18273,Rom,8043,7,17,7,17,Rom 7:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18274,Rom,18596,7,18,7,21,Rom 7:18-21,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18275,Rom,17493,7,22,7,22,Rom 7:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18276,Rom,23636,7,23,7,23,Rom 7:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18277,Rom,28347,7,24,7,24,Rom 7:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18278,Rom,1788,7,25,7,25,Rom 7:25,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18279,Rom,1789,8,1,8,1,Rom 8:1,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18280,Rom,1790,8,2,8,11,Rom 8:2-11,10,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
